	0
K03798	blue
K14162	blue
K02397	blue
K00663	blue
C20926	blue
K12944	blue
K14688	blue
K01929	blue
K01926	blue
C05300	blue
K05876	blue
K01951	blue
K17382	blue
K05879	blue
K03715	blue
K00161	blue
K22617	blue
K00171	blue
K20026	blue
K02182	blue
K21961	blue
C19885	blue
C19972	blue
K06175	blue
C00233	blue
C21210	blue
C16334	blue
K09770	blue
K18431	blue
K18889	blue
K05788	blue
K05967	blue
K19353	blue
K17062	blue
K06099	blue
K16052	blue
K02225	blue
K17077	blue
K02493	blue
K12257	blue
K20964	blue
K06158	blue
K16074	blue
C00630	blue
K01647	blue
K00220	blue
K18356	blue
K03710	blue
K14393	blue
K22478	blue
C00136	blue
K00690	blue
C16255	blue
K01662	blue
K07025	blue
K14089	blue
K22299	blue
C01190	blue
K13830	blue
K00873	blue
K07079	blue
K03484	blue
C03394	blue
K04045	blue
K07576	blue
K09693	blue
K03455	blue
C04053	blue
K22320	blue
K02068	blue
K00783	blue
K00926	blue
K13967	blue
K01738	blue
K02505	blue
C03373	blue
K00133	blue
K05614	blue
K03654	blue
K04075	blue
K17865	blue
K20697	blue
C04644	blue
K04651	blue
K11444	blue
K00668	blue
K06178	blue
K14056	blue
C03375	blue
K20836	blue
K01758	blue
K06674	blue
C19888	blue
K08286	blue
K18230	blue
K21027	blue
C08313	blue
C00331	blue
K05366	blue
K04518	blue
K01433	blue
K03667	blue
K21366	blue
C06423	blue
K08484	blue
K13243	blue
K10764	blue
C20889	blue
K03587	blue
K02939	blue
K16555	blue
K07166	blue
K07577	blue
K23509	blue
K07566	blue
K02391	blue
K02414	blue
C21651	blue
K01784	blue
K15633	blue
K18887	blue
K00895	blue
K15640	blue
C11736	blue
C00100	blue
K13984	blue
K09647	blue
K07317	blue
C01212	blue
C04494	blue
K03979	blue
K14051	blue
C01083	blue
K11381	blue
C18076	blue
C12212	blue
C21493	blue
C03402	blue
K00384	blue
C00527	blue
K08884	blue
K00721	blue
K02470	blue
K19591	blue
K12573	blue
C00015	blue
K03321	blue
K23779	blue
K20904	blue
K11689	blue
K11475	blue
C04738	blue
K02406	blue
C00935	blue
C00489	blue
K23111	blue
K01892	blue
K07768	blue
C04582	blue
K09458	blue
K08282	blue
K13921	blue
K00086	blue
K06037	blue
K14682	blue
K02474	blue
C12470	blue
K01972	blue
K00259	blue
K05499	blue
K06207	blue
C00311	blue
C00804	blue
K03534	blue
C05703	blue
C19787	blue
C02133	blue
K13530	blue
K00193	blue
C00208	blue
K03149	blue
K17329	blue
K23244	blue
K06988	blue
K01838	blue
K02652	blue
K11960	blue
K07701	blue
K10966	blue
C00253	blue
K12960	blue
C18059	blue
K20680	blue
C06364	blue
K01886	blue
K01533	blue
K23109	blue
K01464	blue
K01247	blue
K11688	blue
K03492	blue
G10557	blue
C05828	blue
K01804	blue
C00615	blue
C00668	blue
K18661	blue
K02458	blue
K19270	blue
K19304	blue
C16637	blue
K16196	blue
C18030	blue
K05359	blue
C02714	blue
K00243	blue
K05341	blue
K02052	blue
K20742	blue
K00088	blue
C00405	blue
C15978	blue
C12739	blue
K01051	blue
K15507	blue
K19295	blue
C19723	blue
K09996	blue
C01099	blue
K19302	blue
K17653	blue
K01686	blue
K09277	blue
K20971	blue
C01233	blue
K19360	blue
C04506	blue
K06157	blue
K01286	blue
C03294	blue
K03189	blue
K11070	blue
K17215	blue
K02419	blue
K23079	blue
C04640	blue
K03833	blue
K07444	blue
C00179	blue
K02455	blue
K20831	blue
K00773	blue
K20959	blue
K01949	blue
C21107	blue
K01890	blue
C00288	blue
K15855	blue
G10620	blue
K08739	blue
K01251	blue
K11955	blue
C05662	blue
K01968	blue
K21947	blue
K03817	blue
K11740	blue
K08570	blue
K08723	blue
C20959	blue
C00217	blue
K02409	blue
K03585	blue
K15831	blue
K03292	blue
K01835	blue
K21465	blue
K04090	blue
C02960	blue
K00189	blue
K18459	blue
C04377	blue
K15792	blue
K14441	blue
K10823	blue
C02843	blue
K05991	blue
C00134	blue
K13012	blue
K04656	blue
C03511	blue
K00978	blue
K09858	blue
K15770	blue
K18572	blue
C20838	blue
K02226	blue
K20037	blue
C20424	blue
K02654	blue
K11608	blue
C00479	blue
K07301	blue
K02357	blue
K01183	blue
K14655	blue
K21453	blue
K07139	blue
C09813	blue
K17243	blue
K21138	blue
K02429	blue
K13688	blue
C12366	blue
C02291	blue
C18008	blue
K16898	blue
K03402	blue
K10188	blue
C00239	blue
K00962	blue
K01685	blue
K01669	blue
C16615	blue
K06024	blue
K12111	blue
K16868	blue
C04181	blue
K02012	blue
K13812	blue
K22397	blue
K11031	blue
K11912	blue
C21957	blue
K23373	blue
K09972	blue
K03382	blue
K15017	blue
K15904	blue
C21873	blue
K11956	blue
K16318	blue
K01880	blue
K17797	blue
K03780	blue
K00186	blue
K08485	blue
K22982	blue
C15883	blue
K01449	blue
K01129	blue
C05259	blue
C04419	blue
K16698	blue
K00820	blue
C00067	blue
K22081	blue
K06946	blue
K02134	blue
C00229	blue
C17323	blue
K16370	blue
K00688	blue
K22907	blue
K11996	blue
K11413	blue
C02504	blue
C04574	blue
K14660	blue
K09812	blue
K00666	blue
K18344	blue
C01146	blue
K05802	blue
K09022	blue
C02939	blue
C20651	blue
K11631	blue
K13519	blue
K02823	blue
C16399	blue
C06507	blue
K13950	blue
K03165	blue
K03240	blue
K02671	blue
C02415	blue
C00794	blue
K18399	blue
C16470	blue
K18654	blue
K01676	blue
K23775	blue
C00692	blue
K07736	blue
K21417	blue
K03824	blue
C02338	blue
K03593	blue
K21936	blue
K00254	blue
C03604	blue
K13787	blue
K02000	blue
K00533	blue
K03177	blue
K10810	blue
K12997	blue
K03339	blue
K00657	blue
K11499	blue
K00616	blue
C00250	blue
K08326	blue
K09787	blue
K11442	blue
C00750	blue
K00949	blue
K03771	blue
K00598	blue
K02115	blue
K17722	blue
K11200	blue
C04257	blue
C00627	blue
C06473	blue
K16302	blue
K07101	blue
K22292	blue
K18786	blue
K19430	blue
K18316	blue
C00035	blue
K01076	blue
K11705	blue
K01589	blue
K17749	blue
C16583	blue
K22227	blue
C00433	blue
K01491	blue
K02662	blue
K12132	blue
K19005	blue
K00951	blue
C00860	blue
C00140	blue
K00645	blue
K16179	blue
C01011	blue
G00161	blue
C16596	blue
K02412	blue
K14537	blue
K16438	blue
K15496	blue
K00817	blue
K02486	blue
K12264	blue
K12503	blue
K03297	blue
K06949	blue
K03892	blue
K00864	blue
K23535	blue
C06424	blue
K20712	blue
K02520	blue
K15778	blue
K17506	blue
C01182	blue
C05269	blue
K01002	blue
K01709	blue
C18007	blue
C20377	blue
C20897	blue
K06913	blue
C04488	blue
K16899	blue
K07700	blue
C20966	blue
C17219	blue
K00952	blue
K22124	blue
K05820	blue
K11963	blue
K07718	blue
C19647	blue
K20469	blue
K19180	blue
K19715	blue
C04554	blue
K06217	blue
C01563	blue
K03544	blue
K10191	blue
C15809	blue
C00145	blue
C00033	blue
C21332	blue
K16200	blue
K09527	blue
K17234	blue
K06346	blue
C04752	blue
C02047	blue
K04042	blue
K05801	blue
K16962	blue
K03521	blue
K11635	blue
C00492	blue
K03497	blue
K01958	blue
K02390	blue
K01586	blue
K00790	blue
K08307	blue
K00177	blue
K13052	blue
K13560	blue
K00945	blue
C00488	blue
K10544	blue
K00867	blue
K19223	blue
K23239	blue
K01438	blue
K01523	blue
K02444	blue
C06615	blue
C05770	blue
K04517	blue
K08736	blue
K19312	blue
K23144	blue
K03696	blue
C04146	blue
K00145	blue
K07320	blue
K18540	blue
K03695	blue
K03743	blue
C16426	blue
C00079	blue
K03631	blue
K19225	blue
K09825	blue
G00289	blue
C00131	blue
K21019	blue
K01904	blue
K16017	blue
K04485	blue
K00848	blue
K03170	blue
C00163	blue
K06185	blue
K08279	blue
K15268	blue
C05577	blue
C00030	blue
K13487	blue
K06182	blue
K01368	blue
C01330	blue
K02387	blue
K12454	blue
K02860	blue
K03502	blue
K06001	blue
C02527	blue
K11176	blue
K14708	blue
C12318	blue
K19424	blue
C00093	blue
K12511	blue
K01937	blue
K01146	blue
K10297	blue
K02315	blue
K04773	blue
K11607	blue
K11102	blue
K04077	blue
K15362	blue
K03501	blue
K21621	blue
K01959	blue
C20374	blue
K10242	blue
K08998	blue
C03170	blue
K20202	blue
K04652	blue
K00931	blue
K07465	blue
K15526	blue
K13252	blue
C04039	blue
K02998	blue
K07030	blue
K07726	blue
C02679	blue
K09766	blue
C00004	blue
C00052	blue
C04180	blue
K10200	blue
C00411	blue
K00857	blue
C00157	blue
K21179	blue
C00139	blue
C03912	blue
K22589	blue
C05892	blue
K20956	blue
K21567	blue
K21189	blue
K02443	blue
K10598	blue
C05763	blue
K02053	blue
C00387	blue
C04144	blue
K14215	blue
K17744	blue
K00999	blue
K03973	blue
K22277	blue
C00251	blue
C00018	blue
K00967	blue
K20692	blue
K10762	blue
K01663	blue
K09816	blue
K01409	blue
K04477	blue
C02713	blue
C02631	blue
K01803	blue
C12203	blue
K00290	blue
C04462	blue
G13102	blue
C00764	blue
K21168	blue
C16589	blue
K10771	blue
K15329	blue
C16588	blue
K01265	blue
K03776	blue
K08174	blue
K23683	blue
K00067	blue
C11831	blue
K00612	blue
K03651	blue
C04037	blue
K01734	blue
K22804	blue
C00212	blue
K06951	blue
K22104	blue
K01714	blue
K01934	blue
C00230	blue
K00806	blue
G10555	blue
K03550	blue
K05565	blue
K06154	blue
K03319	blue
K21185	blue
K23786	blue
G10481	blue
K16792	blue
K16849	blue
K12555	blue
C00886	blue
K19052	blue
K18787	blue
C04793	blue
K18059	blue
K14445	blue
K17623	blue
K16363	blue
C00269	blue
K13671	blue
K06881	blue
K13829	blue
C19692	blue
K20074	blue
K06669	blue
K01746	blue
K16921	blue
C06000	blue
K02415	blue
K00812	blue
K02839	blue
K08167	blue
K20679	blue
K04655	blue
C00170	blue
C00624	blue
C00110	blue
K19070	blue
K05349	blue
K17242	blue
K06636	blue
