	0
K00656	blue
K03311	blue
K04043	blue
K06187	blue
K00604	blue
K07006	blue
K03404	blue
K15778	blue
K07739	blue
K03980	blue
K01342	blue
C20395	blue
K01897	blue
K05592	blue
K23059	blue
K01989	blue
C19799	blue
K01520	blue
K13431	blue
K13009	blue
K03771	blue
C04692	blue
K00847	blue
C19848	blue
K04774	blue
K23078	blue
C06224	blue
K09017	blue
K09792	blue
K03784	blue
C05775	blue
K07305	blue
K16179	blue
K00121	blue
K19975	blue
C15556	blue
K01461	blue
K17080	blue
C18034	blue
C05892	blue
C00979	blue
C06320	blue
C20738	blue
K04484	blue
K08483	blue
C05814	blue
K15373	blue
K04757	blue
K00467	blue
C04294	blue
K11476	blue
K02492	blue
K03655	blue
K00632	blue
C08734	blue
K00966	blue
K01738	blue
K02334	blue
K11273	blue
C00331	blue
K00824	blue
K10541	blue
K04759	blue
C04613	blue
K13771	blue
C03161	blue
K03101	blue
K03590	blue
K03721	blue
K11475	blue
K12369	blue
C16255	blue
K19872	blue
K00364	blue
K22927	blue
K03324	blue
C00169	blue
K19427	blue
K01515	blue
K16638	blue
K18476	blue
K02411	blue
C00208	blue
K10705	blue
C16688	blue
K19576	blue
K21109	blue
C05726	blue
K14449	blue
K02228	blue
K00102	blue
K05034	blue
K15192	blue
K01939	blue
C00409	blue
K15585	blue
K01753	blue
K08710	blue
C01468	blue
K01883	blue
C05923	blue
K02808	blue
K17725	blue
K21363	blue
K07499	blue
K18301	blue
K17686	blue
K02118	blue
C17323	blue
K02433	blue
K00652	blue
K08083	blue
K00204	blue
K18530	blue
C02876	blue
K00852	blue
K13279	blue
K07741	blue
C00179	blue
C20083	blue
K02136	blue
K15554	blue
C16334	blue
K00936	blue
K08971	blue
K00609	blue
K02230	blue
K05372	blue
K03701	blue
K19425	blue
K10947	blue
K01961	blue
K13831	blue
K12733	blue
C04574	blue
C04570	blue
C00133	blue
K07166	blue
C12481	blue
K01409	blue
K07134	blue
K02652	blue
K02224	blue
C21988	blue
K02107	blue
K07107	blue
K11955	blue
K13540	blue
K12961	blue
K13770	blue
K03299	blue
K16363	blue
K22549	blue
K00091	blue
K20728	blue
K23676	blue
K03072	blue
K00266	blue
C11910	blue
K15895	blue
C00033	blue
K03087	blue
K07213	blue
C04157	blue
C04525	blue
K00798	blue
C04112	blue
K05015	blue
K13967	blue
C00096	blue
K03208	blue
C01026	blue
C20466	blue
K02082	blue
K19810	blue
K07326	blue
K02822	blue
K05831	blue
K01000	blue
C20423	blue
C06399	blue
K02507	blue
K04077	blue
K01790	blue
K09808	blue
K15261	blue
K06870	blue
C16470	blue
K12450	blue
K02918	blue
K02798	blue
K21134	blue
K21479	blue
K12795	blue
K03790	blue
K22446	blue
C00055	blue
K00788	blue
K01586	blue
C01659	blue
K03339	blue
K09879	blue
K11102	blue
C04153	blue
C00164	blue
K11441	blue
C00445	blue
K03436	blue
K16180	blue
K21378	blue
K21977	blue
