	0
K03073	blue
K00954	blue
K01989	blue
K16021	blue
K06204	blue
K08737	blue
K11777	blue
K16105	blue
K07392	blue
K23511	blue
K15230	blue
C00492	blue
C03508	blue
K00946	blue
K09667	blue
K20459	blue
C01346	blue
C01268	blue
K02240	blue
K02213	blue
C04216	blue
C19080	blue
K01048	blue
C01252	blue
C19802	blue
K14688	blue
K01737	blue
K03763	blue
C05711	blue
C00152	blue
C00253	blue
C00095	blue
C15975	blue
K00800	blue
K02871	blue
K16199	blue
C00184	blue
K15895	blue
K09810	blue
K01092	blue
K06211	blue
K12543	blue
C00044	blue
C00558	blue
K01705	blue
C00248	blue
C05729	blue
K00099	blue
K09024	blue
K01278	blue
K01999	blue
K09681	blue
K16924	blue
C00417	blue
K12251	blue
K02042	blue
K03530	blue
C15996	blue
C03838	blue
K18220	blue
K07003	blue
C16390	blue
K15515	blue
C00681	blue
C00638	blue
K22227	blue
K02004	blue
K02101	blue
K06442	blue
K08964	blue
K09504	blue
K22149	blue
C20683	blue
C00011	blue
C01163	blue
C11406	blue
K09527	blue
K11541	blue
K03775	blue
C02939	blue
C04153	blue
K03495	blue
K22447	blue
K00566	blue
C01172	blue
K20712	blue
C03373	blue
K01958	blue
C03393	blue
K00639	blue
K21063	blue
C21851	blue
K15503	blue
K02477	blue
C00279	blue
K00484	blue
K03394	blue
K21555	blue
K14002	blue
K03784	blue
K02909	blue
C05691	blue
K01685	blue
K22405	blue
K08310	blue
K08177	blue
K00014	blue
K17995	blue
K01138	blue
K13998	blue
K00058	blue
C11545	blue
C02565	blue
C02527	blue
C00764	blue
C00804	blue
C03657	blue
K03893	blue
K07183	blue
K18356	blue
K18855	blue
K13933	blue
K13481	blue
K17653	blue
K07757	blue
K08318	blue
K01142	blue
K01262	blue
K00560	blue
K22927	blue
K02314	blue
K02484	blue
K04759	blue
K10870	blue
K23481	blue
K18694	blue
K02170	blue
C04575	blue
C00310	blue
K06936	blue
K10191	blue
K10038	blue
K02316	blue
K02337	blue
K01713	blue
K20861	blue
K19181	blue
C00015	blue
K15502	blue
K01491	blue
K17363	blue
K22199	blue
K06123	blue
K09710	blue
C01228	blue
K04108	blue
K02895	blue
K11960	blue
K03437	blue
C00617	blue
K12909	blue
C20239	blue
K06669	blue
K03569	blue
K04075	blue
C06250	blue
C20374	blue
K16200	blue
C00575	blue
K17997	blue
K06117	blue
K02902	blue
