	0
C04573	blue
K00854	blue
C02047	blue
C05394	blue
K01937	blue
K01431	blue
K01711	blue
C00110	blue
K06127	blue
K16259	blue
K07177	blue
K01714	blue
K06997	blue
K01002	blue
C05760	blue
K02372	blue
K02968	blue
K10715	blue
K03980	blue
K08194	blue
C00054	blue
C00006	blue
C19794	blue
K18824	blue
K07644	blue
C04598	blue
K00661	blue
K00966	blue
K05824	blue
K03297	blue
K08300	blue
C00146	blue
C00693	blue
C00061	blue
K17677	blue
C21462	blue
C04877	blue
K00286	blue
K22102	blue
C00091	blue
K00230	blue
C04536	blue
C20950	blue
K20203	blue
K15781	blue
K16089	blue
K00013	blue
K05882	blue
C00315	blue
K02113	blue
C07490	blue
G13093	blue
K07560	blue
K14441	blue
C00010	blue
C01031	blue
K00748	blue
K00654	blue
C21215	blue
K22982	blue
K03234	blue
K23676	blue
K05787	blue
K01761	blue
C21991	blue
C01228	blue
C05577	blue
K06879	blue
K12600	blue
C16348	blue
K07029	blue
K09498	blue
K17490	blue
K19427	blue
K08218	blue
K05800	blue
K22108	blue
K02010	blue
K08302	blue
G00161	blue
K01886	blue
C04037	blue
C03508	blue
K19285	blue
C00887	blue
K10907	blue
K11787	blue
C21065	blue
C19799	blue
G13110	blue
C20236	blue
K01873	blue
K00759	blue
K08955	blue
K00693	blue
K02484	blue
C01168	blue
K01055	blue
C01079	blue
K01415	blue
K05528	blue
C05703	blue
C21461	blue
K19329	blue
C20830	blue
K07647	blue
K15895	blue
K21464	blue
K12339	blue
K07684	blue
K19781	blue
K03778	blue
K08289	blue
C00860	blue
K06180	blue
K01493	blue
K01705	blue
K00180	blue
K01709	blue
K23188	blue
C00088	blue
K16087	blue
K07478	blue
K07079	blue
K00764	blue
C20373	blue
G13081	blue
K10882	blue
K11121	blue
K18139	blue
K21787	blue
K01119	blue
K18979	blue
K13616	blue
C00184	blue
K01885	blue
K16787	blue
K18300	blue
C12212	blue
K02338	blue
K18901	blue
K00944	blue
K07025	blue
K00400	blue
K00677	blue
K02117	blue
K03453	blue
K18820	blue
C04916	blue
K18954	blue
K02115	blue
C00638	blue
C04556	blue
K09691	blue
K04767	blue
C00641	blue
C05698	blue
K03701	blue
K00207	blue
K00967	blue
K07031	blue
K10010	blue
K11600	blue
C19880	blue
K03092	blue
K00754	blue
K01790	blue
K01066	blue
C02415	blue
K03543	blue
K22503	blue
K01303	blue
K15738	blue
K03429	blue
K00282	blue
C00568	blue
K14538	blue
C00256	blue
C00671	blue
K03832	blue
C15996	blue
C03160	blue
K00772	blue
K07056	blue
K00561	blue
C00191	blue
K19270	blue
K23304	blue
C16615	blue
K08669	blue
K11325	blue
K07806	blue
C00540	blue
C05697	blue
K06140	blue
K22186	blue
C00440	blue
C00684	blue
K07790	blue
K12975	blue
K00948	blue
K08255	blue
C00106	blue
C20416	blue
K20444	blue
K01737	blue
C00430	blue
K09690	blue
K22316	blue
K00015	blue
K03712	blue
K06941	blue
C02273	blue
C15978	blue
K01608	blue
K03321	blue
K19353	blue
K13821	blue
K09884	blue
K15553	blue
K21218	blue
K17362	blue
K01972	blue
C14818	blue
K02198	blue
G13113	blue
K01953	blue
K12990	blue
C00973	blue
C03862	blue
K03789	blue
K22489	blue
K13017	blue
K13283	blue
C01898	blue
K05034	blue
K02933	blue
K07652	blue
K02560	blue
C14819	blue
K20140	blue
K05343	blue
K10206	blue
K08070	blue
K03240	blue
K23013	blue
K07318	blue
K01075	blue
K14267	blue
C01978	blue
K04516	blue
K08636	blue
C11922	blue
K20156	blue
K07101	blue
K02099	blue
K02518	blue
K05340	blue
K14487	blue
K15741	blue
K14453	blue
C00620	blue
K11991	blue
K06158	blue
K00175	blue
C21174	blue
C20752	blue
C20751	blue
C15495	blue
C04752	blue
C03287	blue
G10008	blue
K17074	blue
K03699	blue
C00668	blue
K06504	blue
K01687	blue
K21171	blue
K22450	blue
C17215	blue
K13810	blue
C00455	blue
K00239	blue
K01271	blue
K08675	blue
K01778	blue
C01099	blue
K02479	blue
C20641	blue
K21065	blue
K07568	blue
C20753	blue
