	0
K09569	blue
K00752	blue
K02145	blue
K02854	blue
K04760	blue
K05341	blue
K20203	blue
C04442	blue
K07281	blue
K22555	blue
C00940	blue
C03722	blue
K01197	blue
K02926	blue
C00124	blue
C11477	blue
K07657	blue
C03692	blue
K14261	blue
K20974	blue
C03150	blue
K17744	blue
K10450	blue
K00058	blue
C00862	blue
K16907	blue
K07273	blue
K01067	blue
K03642	blue
K19702	blue
K00885	blue
K03655	blue
K21168	blue
K01492	blue
C00282	blue
K00278	blue
G00010	blue
C00028	blue
C02352	blue
K04488	blue
K13017	blue
K13753	blue
C00014	blue
K12951	blue
K02123	blue
C01080	blue
K19334	blue
K08787	blue
K00441	blue
K01697	blue
K18123	blue
C12108	blue
C02637	blue
C00221	blue
K02004	blue
K06210	blue
K01080	blue
K03306	blue
C03201	blue
C00097	blue
K12823	blue
K01883	blue
K03693	blue
K09578	blue
K02904	blue
K07651	blue
K02032	blue
K13853	blue
C05727	blue
K00571	blue
K01424	blue
K03609	blue
C00015	blue
K01285	blue
K03833	blue
K09612	blue
C02527	blue
K06136	blue
C04153	blue
K03386	blue
K17248	blue
K01408	blue
C00088	blue
K01420	blue
K01993	blue
G13061	blue
K00350	blue
K01665	blue
C04882	blue
K09800	blue
K21573	blue
K01904	blue
K19781	blue
K05359	blue
K03214	blue
K21134	blue
C14144	blue
C00055	blue
C16681	blue
C20251	blue
C21898	blue
K23976	blue
K07028	blue
K07560	blue
K12152	blue
K06200	blue
K23304	blue
C02291	blue
K22230	blue
K01301	blue
K07322	blue
K00942	blue
K06091	blue
K01448	blue
K13926	blue
K02874	blue
K02878	blue
C03794	blue
C22136	blue
C05824	blue
C17217	blue
K03402	blue
K18883	blue
K00784	blue
K06881	blue
K06131	blue
C15587	blue
C05763	blue
K00703	blue
K09014	blue
K18959	blue
K13747	blue
C12350	blue
K00657	blue
K02404	blue
C16155	blue
K01823	blue
K01881	blue
K18298	blue
C00680	blue
G12573	blue
C05923	blue
K02519	blue
C01352	blue
C20755	blue
C00035	blue
C17696	blue
C11811	blue
K06147	blue
K14152	blue
K22223	blue
C04874	blue
K00179	blue
K01939	blue
C00051	blue
K18640	blue
K03800	blue
C05394	blue
K14162	blue
K16694	blue
C00280	blue
K07152	blue
K15876	blue
C21568	blue
K11719	blue
C21335	blue
K21055	blue
K03531	blue
K14002	blue
K07157	blue
C04823	blue
K07050	blue
C00405	blue
K23987	blue
C01672	blue
K06926	blue
C00417	blue
C05546	blue
C20423	blue
K23159	blue
K19222	blue
C18096	blue
K03388	blue
K13252	blue
C00154	blue
K16028	blue
K21511	blue
C00249	blue
C21065	blue
C04734	blue
K03526	blue
K21007	blue
K22503	blue
K06889	blue
K08255	blue
C04896	blue
C05893	blue
K16862	blue
K22451	blue
K02347	blue
C03239	blue
K00786	blue
K02906	blue
K13940	blue
K01783	blue
K02355	blue
K02069	blue
K05046	blue
C05750	blue
C01368	blue
K05695	blue
K04069	blue
K00207	blue
K01814	blue
K07010	blue
C00214	blue
K06168	blue
K12735	blue
K17550	blue
K14208	blue
C02745	blue
C17323	blue
K01023	blue
K06182	blue
K19697	blue
C07090	blue
C05336	blue
K07315	blue
K01465	blue
K18682	blue
C01180	blue
K03778	blue
K18775	blue
C01179	blue
K12339	blue
K06957	blue
C00090	blue
K18824	blue
C00099	blue
K10398	blue
K01282	blue
K11161	blue
K09607	blue
K07768	blue
C18172	blue
C00040	blue
K16257	blue
K12977	blue
C00109	blue
K11537	blue
K23508	blue
K15888	blue
K18908	blue
K19594	blue
K13279	blue
C00343	blue
C02964	blue
K03856	blue
K17680	blue
K16869	blue
K03770	blue
K02837	blue
K17758	blue
K19349	blue
C04916	blue
C21403	blue
C04752	blue
K07729	blue
K00951	blue
K11787	blue
C06023	blue
K07444	blue
C00620	blue
K23078	blue
K09458	blue
C00069	blue
K13875	blue
K03315	blue
K17759	blue
K21701	blue
K03090	blue
K01652	blue
K14587	blue
K16554	blue
K03101	blue
K03534	blue
K15719	blue
K21787	blue
K09504	blue
K18983	blue
K22299	blue
C21008	blue
C20651	blue
K04517	blue
K14709	blue
C20237	blue
K02472	blue
K05910	blue
K13276	blue
K04774	blue
K15381	blue
C00103	blue
C06006	blue
C00224	blue
C06022	blue
K14536	blue
C16634	blue
K10956	blue
K00648	blue
K15923	blue
C02843	blue
K03816	blue
K16089	blue
C06010	blue
K20460	blue
C15973	blue
K00643	blue
K02884	blue
C21113	blue
K03269	blue
C06210	blue
K17830	blue
K07278	blue
K12316	blue
C00092	blue
K10914	blue
C05577	blue
C17222	blue
C05478	blue
K01513	blue
K14759	blue
C00286	blue
C21609	blue
K18944	blue
K08302	blue
K18336	blue
K03569	blue
K20011	blue
C15797	blue
K10797	blue
C05686	blue
K22907	blue
C21881	blue
K13023	blue
K01897	blue
C00683	blue
K10901	blue
K05837	blue
K06076	blue
K11729	blue
C00052	blue
C00264	blue
K14416	blue
G00002	blue
K00919	blue
K09760	blue
K00872	blue
K17725	blue
K03439	blue
K05774	blue
C19879	blue
K02438	blue
K03387	blue
C20642	blue
K16843	blue
K07459	blue
K03976	blue
C20062	blue
C00475	blue
K02876	blue
C20955	blue
K04516	blue
K11641	blue
C01102	blue
K21833	blue
K03790	blue
K22506	blue
K00962	blue
K06189	blue
K16165	blue
K03687	blue
C00071	blue
C00137	blue
K19854	blue
G13108	blue
C03198	blue
C21651	blue
K14170	blue
K15765	blue
K07114	blue
K01498	blue
K12585	blue
K02536	blue
K02481	blue
K20237	blue
C04051	blue
C00030	blue
K02982	blue
K19796	blue
C05756	blue
K23779	blue
C22053	blue
K18422	blue
C00012	blue
K10775	blue
C04332	blue
K21591	blue
C05980	blue
G10665	blue
K01687	blue
K01858	blue
K01866	blue
C16348	blue
K02016	blue
G13121	blue
K00077	blue
K02968	blue
