	0
C01825	blue
K22233	blue
K07045	blue
K03732	blue
K17319	blue
K23058	blue
C00416	blue
C00044	blue
K09512	blue
C00492	blue
K19548	blue
K12615	blue
K13829	blue
C11062	blue
K23535	blue
K18028	blue
C04713	blue
K06363	blue
K00954	blue
C00242	blue
C05645	blue
K03091	blue
K03977	blue
K09487	blue
K21210	blue
C00008	blue
C20949	blue
C00380	blue
K01818	blue
K13954	blue
K20918	blue
C05759	blue
C03684	blue
K00948	blue
C12210	blue
K04085	blue
C04376	blue
K07446	blue
C17949	blue
C04536	blue
K06915	blue
C01081	blue
K08319	blue
C16630	blue
K09017	blue
K08964	blue
C00041	blue
C02637	blue
C00186	blue
K05815	blue
K05831	blue
C00679	blue
C00147	blue
K03324	blue
K22133	blue
K09484	blue
K11076	blue
K12526	blue
K01271	blue
K09647	blue
K16898	blue
K18123	blue
C21750	blue
C00159	blue
C01528	blue
K03312	blue
K07766	blue
C05379	blue
K05939	blue
K20460	blue
K13800	blue
K15831	blue
K16554	blue
C00035	blue
G10620	blue
K15598	blue
K20011	blue
C16359	blue
K20468	blue
K23258	blue
K08675	blue
K03657	blue
C00343	blue
K11753	blue
K01506	blue
C21328	blue
K17722	blue
C20423	blue
K14667	blue
K02621	blue
K13984	blue
K01697	blue
K01599	blue
K20957	blue
K13566	blue
C00081	blue
C21017	blue
K19286	blue
C01142	blue
C20959	blue
K06180	blue
C11406	blue
K07091	blue
K22927	blue
K06183	blue
C00106	blue
K18398	blue
K04068	blue
C05684	blue
K06212	blue
K01965	blue
C00797	blue
C01270	blue
K01270	blue
K11412	blue
K02333	blue
K16850	blue
K00560	blue
K01904	blue
K07012	blue
K01461	blue
K07097	blue
K06178	blue
C15812	blue
C00828	blue
K07726	blue
K01838	blue
K00879	blue
K22345	blue
K19171	blue
K19710	blue
K06925	blue
C00617	blue
C00230	blue
K17320	blue
K20790	blue
K02965	blue
C15980	blue
C02962	blue
K03294	blue
C05791	blue
K22901	blue
K03773	blue
K02945	blue
K05519	blue
K09650	blue
C21749	blue
C02992	blue
C12215	blue
C00143	blue
C01286	blue
K17816	blue
K05034	blue
K17999	blue
C05744	blue
C05726	blue
K06767	blue
C00860	blue
K05919	blue
K15652	blue
K01652	blue
K21681	blue
K01082	blue
K13679	blue
K21071	blue
C01168	blue
K22544	blue
K03218	blue
K04479	blue
K08484	blue
K13616	blue
K00121	blue
K10823	blue
C04348	blue
K02469	blue
K09499	blue
C05796	blue
K00059	blue
K03654	blue
K01241	blue
K23181	blue
C17556	blue
K01096	blue
K00334	blue
C00068	blue
K09494	blue
K03672	blue
C19885	blue
K00885	blue
K14708	blue
K04083	blue
C01161	blue
K01677	blue
K00088	blue
C20562	blue
C00322	blue
C00295	blue
K22857	blue
K00841	blue
K01176	blue
K03592	blue
K06897	blue
K10188	blue
K22232	blue
K18910	blue
K02240	blue
C00924	blue
K21031	blue
K00819	blue
K07314	blue
K01619	blue
C19692	blue
K01462	blue
K03292	blue
K02008	blue
K15233	blue
K10773	blue
C00194	blue
K13431	blue
K18967	blue
K03087	blue
C17022	blue
K03327	blue
K00812	blue
K00049	blue
C05394	blue
K13252	blue
C16600	blue
C06473	blue
C03373	blue
C05751	blue
K00951	blue
K23361	blue
C04501	blue
K01783	blue
K23078	blue
K22477	blue
K06179	blue
K06889	blue
C06040	blue
K01880	blue
K01247	blue
C00161	blue
K08998	blue
K12369	blue
C01181	blue
K01873	blue
K14358	blue
K01008	blue
K07313	blue
K06754	blue
K06972	blue
C06400	blue
K03893	blue
K13283	blue
K01997	blue
K08691	blue
K16474	blue
C21861	blue
C16849	blue
C03160	blue
K08281	blue
K06873	blue
K00567	blue
K09021	blue
K14676	blue
K00772	blue
