	0
K03106	blue
K21279	blue
K03560	blue
C18096	blue
K02198	blue
K00046	blue
K00275	blue
K03089	blue
K09876	blue
C20062	blue
C19975	blue
K04765	blue
K22226	blue
C06040	blue
K05288	blue
K07862	blue
C00984	blue
C21074	blue
K12340	blue
K02364	blue
K09584	blue
K16017	blue
K04715	blue
K15318	blue
K03789	blue
K16421	blue
C03461	blue
K15711	blue
K16257	blue
K06997	blue
K03553	blue
K02371	blue
C01931	blue
K01082	blue
C19847	blue
C18305	blue
K00820	blue
K02238	blue
G10545	blue
K13936	blue
K12573	blue
C00169	blue
K03881	blue
C02659	blue
K22538	blue
C05809	blue
C00199	blue
K06943	blue
K14447	blue
C20810	blue
K03634	blue
K14002	blue
K08175	blue
C20986	blue
C04824	blue
K00759	blue
K00340	blue
K08312	blue
K02071	blue
K03768	blue
K05546	blue
C05546	blue
C16476	blue
K09811	blue
K01948	blue
K20997	blue
K08303	blue
K02342	blue
K09685	blue
C16348	blue
K09117	blue
K06148	blue
K13444	blue
C00380	blue
K03529	blue
C15811	blue
K21378	blue
C11924	blue
K01583	blue
K02518	blue
K20488	blue
K19064	blue
C00154	blue
K03733	blue
K03778	blue
K03979	blue
C06613	blue
C14099	blue
C01845	blue
K02854	blue
K03441	blue
K14333	blue
C21995	blue
K18059	blue
K13015	blue
K01949	blue
C01110	blue
C00043	blue
C21386	blue
G00317	blue
K21557	blue
C06022	blue
K07783	blue
C01330	blue
C16221	blue
K01585	blue
K00640	blue
K21137	blue
K07566	blue
K19702	blue
K06019	blue
K06969	blue
K12436	blue
K03581	blue
K09826	blue
C02047	blue
K09820	blue
C00027	blue
C05898	blue
K01715	blue
K08635	blue
K01084	blue
K07787	blue
C06124	blue
C11520	blue
K00006	blue
K06898	blue
K11206	blue
C00013	blue
K13963	blue
K03639	blue
K01091	blue
K01338	blue
K11928	blue
C19888	blue
K01190	blue
C03590	blue
K15469	blue
K03478	blue
K13638	blue
C19885	blue
K01261	blue
K02124	blue
K02945	blue
K16695	blue
K05576	blue
K08068	blue
C05923	blue
K07244	blue
K03827	blue
K02899	blue
K12297	blue
K15899	blue
C03742	blue
K02530	blue
C04556	blue
K03090	blue
K02851	blue
K13023	blue
K20509	blue
K03165	blue
K11937	blue
K09944	blue
K14215	blue
K22441	blue
C00818	blue
K01277	blue
K01887	blue
G10620	blue
K00433	blue
K16559	blue
K18944	blue
K03436	blue
K02193	blue
C06240	blue
K00278	blue
K16694	blue
C05684	blue
C00139	blue
C08362	blue
K02890	blue
C05335	blue
K09571	blue
K11745	blue
K03453	blue
C03089	blue
K11540	blue
K00015	blue
C00283	blue
C15647	blue
C00085	blue
C02637	blue
K02497	blue
K00788	blue
G13120	blue
K14826	blue
K07282	blue
C04598	blue
C02528	blue
K22214	blue
C20819	blue
