	0
K18345	blue
K09777	blue
K00557	blue
K01872	blue
K09809	blue
K04042	blue
K16959	blue
C00531	blue
K00970	blue
C21462	blue
C12350	blue
K06075	blue
C21881	blue
K21618	blue
K02591	blue
K08484	blue
K00100	blue
C05686	blue
K03695	blue
K11540	blue
K06123	blue
K17653	blue
K12264	blue
K09690	blue
C00561	blue
K07262	blue
K01679	blue
K11530	blue
K14732	blue
K09015	blue
K12341	blue
K01029	blue
K10810	blue
K16174	blue
K10796	blue
C00857	blue
C00409	blue
C03028	blue
C05272	blue
C00234	blue
K01297	blue
C00870	blue
K22199	blue
C12448	blue
C21503	blue
K00059	blue
C05587	blue
K02484	blue
K02863	blue
K02133	blue
K20257	blue
K00058	blue
K11216	blue
C06377	blue
C05427	blue
C16836	blue
K01495	blue
K23753	blue
K00824	blue
K19334	blue
K05612	blue
K01358	blue
K21401	blue
K19781	blue
K01939	blue
K12502	blue
K23144	blue
K09021	blue
K06184	blue
K06901	blue
K07574	blue
K09825	blue
C01170	blue
K15268	blue
K05796	blue
K01673	blue
K01703	blue
K03664	blue
K01755	blue
C16698	blue
K02851	blue
K07584	blue
K18779	blue
C00473	blue
K02217	blue
K11121	blue
C02188	blue
K12960	blue
K18122	blue
K21829	blue
K06442	blue
C16834	blue
K12661	blue
K17758	blue
K03787	blue
K13922	blue
K02232	blue
K18427	blue
K00926	blue
K00215	blue
K06606	blue
K01267	blue
C00269	blue
K03855	blue
K11605	blue
K06925	blue
C21137	blue
K03704	blue
K16438	blue
C02876	blue
C00558	blue
C21113	blue
C17691	blue
K03399	blue
K04028	blue
C00894	blue
K01953	blue
K08166	blue
C11538	blue
K22004	blue
K19076	blue
K21467	blue
K02316	blue
K01777	blue
K00311	blue
K16846	blue
K11687	blue
K13990	blue
K00033	blue
C02737	blue
K03270	blue
K21470	blue
K00763	blue
K04074	blue
K04654	blue
K14379	blue
K05878	blue
K02872	blue
K13641	blue
C19945	blue
K15327	blue
K01951	blue
K20140	blue
C03724	blue
K03789	blue
K05946	blue
K04483	blue
K04085	blue
K00180	blue
K05939	blue
C01181	blue
K03018	blue
K00760	blue
K01153	blue
C03541	blue
C20507	blue
C11406	blue
C16633	blue
K09502	blue
K15866	blue
C00283	blue
C20582	blue
C11417	blue
K15257	blue
K09820	blue
K03511	blue
K09762	blue
C06397	blue
K09065	blue
K06149	blue
C07089	blue
C20816	blue
K00812	blue
K19285	blue
K09774	blue
C04738	blue
K11473	blue
C02869	blue
K22705	blue
K14160	blue
K17989	blue
K12538	blue
K19003	blue
K03451	blue
K22044	blue
K13431	blue
K02282	blue
K13278	blue
K19589	blue
K00038	blue
C01031	blue
K07079	blue
K07246	blue
K07319	blue
K04759	blue
K00262	blue
C00685	blue
K06944	blue
K03077	blue
K01624	blue
K04078	blue
K06889	blue
C00004	blue
K01760	blue
K07014	blue
C06114	blue
K03497	blue
C16619	blue
K09611	blue
K02988	blue
C20377	blue
C00354	blue
K18941	blue
K05687	blue
K15744	blue
K07082	blue
C04713	blue
K07589	blue
K21405	blue
C03492	blue
K03327	blue
K21019	blue
K14213	blue
K14265	blue
K00825	blue
C02047	blue
K00568	blue
K00011	blue
K07685	blue
K07452	blue
K02027	blue
K02955	blue
K22548	blue
K19709	blue
G13060	blue
K04114	blue
K17759	blue
K13280	blue
C03723	blue
K15054	blue
K02446	blue
K09694	blue
K00930	blue
K16261	blue
K00183	blue
K21947	blue
K04758	blue
C21334	blue
C00119	blue
K21029	blue
K03413	blue
K01426	blue
C01252	blue
K07042	blue
K03272	blue
K21592	blue
K02935	blue
K00952	blue
C01528	blue
C03561	blue
K07104	blue
K12257	blue
K16962	blue
K18906	blue
C03127	blue
K14059	blue
K19670	blue
K03416	blue
K22298	blue
C01327	blue
K01738	blue
K00005	blue
C20376	blue
K07493	blue
K21757	blue
K22129	blue
K05275	blue
C03826	blue
C05695	blue
K05934	blue
C05951	blue
C00846	blue
K22927	blue
K01620	blue
C03539	blue
K10977	blue
K09155	blue
K03106	blue
C04157	blue
K15856	blue
K07570	blue
K18814	blue
K03426	blue
K12136	blue
C00035	blue
K15973	blue
K03752	blue
C06481	blue
C06893	blue
K04045	blue
K08174	blue
K19736	blue
C21511	blue
K02168	blue
C00460	blue
K01581	blue
K00941	blue
K02519	blue
K09963	blue
K16850	blue
K06927	blue
K03267	blue
K14287	blue
C05335	blue
C01267	blue
K18449	blue
K01959	blue
C02720	blue
K05553	blue
K01278	blue
K22465	blue
K17648	blue
K03829	blue
K07775	blue
K17103	blue
G13118	blue
C21358	blue
C02637	blue
C06028	blue
K18707	blue
K00067	blue
K22446	blue
K22135	blue
K01286	blue
K00169	blue
K09748	blue
C20566	blue
C19787	blue
K06978	blue
K10012	blue
K00712	blue
K00874	blue
K18770	blue
K18564	blue
C18094	blue
K11617	blue
K16566	blue
K03300	blue
K01766	blue
K06153	blue
K11069	blue
C01304	blue
C00052	blue
K00759	blue
K02113	blue
K14061	blue
C00630	blue
K02756	blue
K21299	blue
C14604	blue
K03219	blue
C02863	blue
K03778	blue
K23228	blue
C20751	blue
C22217	blue
C18152	blue
K22540	blue
K01586	blue
K21138	blue
K14064	blue
K06997	blue
K03575	blue
C17322	blue
K21462	blue
K00955	blue
K03215	blue
C00053	blue
K06209	blue
C05712	blue
C02745	blue
K15637	blue
K02847	blue
K11710	blue
K14162	blue
K01032	blue
C01222	blue
K22047	blue
K11441	blue
K01752	blue
K15474	blue
K07658	blue
K04069	blue
K22754	blue
K10795	blue
C04582	blue
K03824	blue
K00040	blue
K02504	blue
C00954	blue
C00126	blue
K00065	blue
C21879	blue
C16618	blue
K07571	blue
K00945	blue
C06427	blue
K12253	blue
K15727	blue
C00054	blue
K11531	blue
C01213	blue
C01260	blue
K06099	blue
K21611	blue
K19597	blue
C05772	blue
K08771	blue
C00155	blue
C03221	blue
K15342	blue
K23227	blue
C18310	blue
K21168	blue
C00130	blue
C11478	blue
K00688	blue
C01218	blue
K01151	blue
K00791	blue
C00490	blue
K03501	blue
K07807	blue
K00028	blue
K01759	blue
K07000	blue
K17490	blue
K13529	blue
K17737	blue
K06998	blue
K06934	blue
K03583	blue
C20446	blue
K20453	blue
K03303	blue
K21880	blue
K00226	blue
K00392	blue
K03595	blue
K00602	blue
C00096	blue
C15972	blue
K07317	blue
K02453	blue
K04567	blue
K06956	blue
K06636	blue
K00821	blue
C02463	blue
C12023	blue
C04282	blue
K12555	blue
K03330	blue
K07458	blue
C01929	blue
K02946	blue
K00984	blue
K05921	blue
C00075	blue
K02964	blue
K02558	blue
K07552	blue
C07335	blue
K11085	blue
K00962	blue
K21767	blue
K01697	blue
K03650	blue
C00475	blue
C00498	blue
K09693	blue
C00021	blue
C19155	blue
K21594	blue
K07396	blue
C00536	blue
K21580	blue
K00612	blue
K02019	blue
C02282	blue
C19847	blue
K03525	blue
C01110	blue
K11105	blue
K03292	blue
C03979	blue
K21900	blue
C01251	blue
K01626	blue
K00260	blue
K18897	blue
K19386	blue
K11592	blue
C00399	blue
C06508	blue
K02065	blue
C20361	blue
K18824	blue
C00168	blue
K00797	blue
K09541	blue
C00084	blue
K01881	blue
K02337	blue
K00125	blue
C19848	blue
C06398	blue
K00459	blue
K07106	blue
K03343	blue
C03652	blue
C17216	blue
K00351	blue
K02124	blue
K22904	blue
K02969	blue
K09818	blue
K03543	blue
K02115	blue
K20903	blue
C21502	blue
K15016	blue
K10858	blue
K07078	blue
K13292	blue
C00151	blue
K11131	blue
K11145	blue
C03862	blue
K04044	blue
K09815	blue
K02335	blue
C12354	blue
K07506	blue
K03813	blue
K16856	blue
K01604	blue
K03955	blue
C05822	blue
K03586	blue
K05356	blue
K14392	blue
K00784	blue
K04568	blue
C04882	blue
K07200	blue
K03527	blue
K18298	blue
K21364	blue
C02504	blue
K15738	blue
C04327	blue
K00003	blue
K03732	blue
K20707	blue
K01588	blue
K10764	blue
C00734	blue
C00111	blue
C08325	blue
K18703	blue
K00656	blue
K02622	blue
K13043	blue
C00631	blue
C00198	blue
K13643	blue
K20457	blue
K09016	blue
C03129	blue
K02236	blue
C16693	blue
C00681	blue
K17995	blue
K19124	blue
K04094	blue
C21814	blue
K09499	blue
K14537	blue
K00537	blue
K00220	blue
C16348	blue
K07101	blue
K10705	blue
K03708	blue
K07784	blue
K14055	blue
K02997	blue
C04088	blue
K01887	blue
K08978	blue
K02503	blue
C00721	blue
C00166	blue
K16339	blue
K00666	blue
C01250	blue
