	0
C02631	blue
K00537	blue
K07645	blue
C04377	blue
K00647	blue
K13922	blue
K01736	blue
K22900	blue
C18153	blue
K02933	blue
K02012	blue
C04376	blue
K03215	blue
K03797	blue
C16154	blue
K03625	blue
C04236	blue
C03539	blue
C03692	blue
C02097	blue
K08082	blue
K05824	blue
K03367	blue
K20203	blue
K11358	blue
K00612	blue
C20676	blue
K02068	blue
K14250	blue
K11636	blue
K15652	blue
K17062	blue
K02147	blue
K21780	blue
K06183	blue
K02439	blue
C05750	blue
K15634	blue
K11175	blue
K14387	blue
K10831	blue
K06409	blue
K03787	blue
C16471	blue
G13119	blue
K02981	blue
K01118	blue
C12354	blue
K00286	blue
C06509	blue
K00248	blue
C01179	blue
K07126	blue
K19002	blue
C05227	blue
C11830	blue
K08312	blue
K02106	blue
K01810	blue
C04188	blue
C02047	blue
C06416	blue
K12574	blue
K22516	blue
C00679	blue
C05646	blue
K00313	blue
C00435	blue
C03453	blue
C20656	blue
K02237	blue
K02078	blue
K23984	blue
C01010	blue
K18856	blue
K19833	blue
K00845	blue
C04281	blue
K01587	blue
K17675	blue
K05521	blue
C00131	blue
K06382	blue
C00167	blue
K15442	blue
K00188	blue
C00198	blue
K02959	blue
C01335	blue
K22840	blue
K01928	blue
K08602	blue
C16618	blue
K13663	blue
K16201	blue
K11131	blue
C00862	blue
C20651	blue
K01586	blue
K03106	blue
K08325	blue
C05778	blue
K02240	blue
K00522	blue
K01029	blue
K03405	blue
K00302	blue
K00564	blue
C01755	blue
G13120	blue
C07447	blue
K00290	blue
K14487	blue
C00499	blue
K00974	blue
C04631	blue
C04039	blue
K03282	blue
K10441	blue
K16169	blue
K03750	blue
K02356	blue
C05726	blue
C00259	blue
K17081	blue
C00988	blue
K01629	blue
K00946	blue
K02103	blue
K01779	blue
K23315	blue
C00003	blue
C05583	blue
K08964	blue
K09762	blue
K22051	blue
K00932	blue
K01608	blue
K03177	blue
K07259	blue
K07658	blue
K02500	blue
K02032	blue
K16567	blue
C06613	blue
K02839	blue
C17232	blue
K14538	blue
C05841	blue
K03550	blue
C05894	blue
K20955	blue
K01776	blue
C00140	blue
C02745	blue
C00206	blue
C16588	blue
K21594	blue
C17552	blue
K07665	blue
K03243	blue
C05587	blue
C01929	blue
K21948	blue
K10202	blue
K01755	blue
K05365	blue
C17561	blue
C03715	blue
C00144	blue
C00445	blue
K01695	blue
K16318	blue
K10213	blue
C02291	blue
C18629	blue
K17207	blue
K17077	blue
K04034	blue
C11449	blue
K07392	blue
K13797	blue
K23265	blue
