	0
C16663	blue
K07010	blue
K16363	blue
K03079	blue
K03544	blue
K03648	blue
K02935	blue
C03112	blue
K02958	blue
K15054	blue
K07085	blue
C00479	blue
C17432	blue
K22267	blue
K21636	blue
K08680	blue
K11152	blue
K01668	blue
K03270	blue
K03893	blue
K01655	blue
K07133	blue
C12366	blue
C05848	blue
K03353	blue
G10553	blue
K03818	blue
C06507	blue
K16560	blue
C19085	blue
C16615	blue
K21331	blue
C21094	blue
C17223	blue
K03581	blue
C06026	blue
K01755	blue
C00864	blue
K02198	blue
K12506	blue
K06675	blue
C04702	blue
K00790	blue
K20457	blue
C00402	blue
K01495	blue
C00011	blue
K01921	blue
C00846	blue
C01172	blue
C04554	blue
K02232	blue
K01464	blue
K15507	blue
C00455	blue
C01530	blue
C02191	blue
K00145	blue
K01571	blue
C21861	blue
K02124	blue
K21147	blue
C02741	blue
C11903	blue
K02429	blue
C21615	blue
K22311	blue
C03794	blue
C12350	blue
C01302	blue
K01465	blue
C05528	blue
K09577	blue
C03511	blue
C16837	blue
K01866	blue
C00074	blue
K04034	blue
C00027	blue
C04501	blue
K03942	blue
K02199	blue
C00229	blue
K06944	blue
K14689	blue
K00254	blue
C12356	blue
K17420	blue
C01081	blue
K02871	blue
C00385	blue
C01031	blue
C20249	blue
C00364	blue
C17215	blue
C20738	blue
K17828	blue
C16476	blue
K08482	blue
K23150	blue
K02109	blue
K15017	blue
C04691	blue
K03165	blue
C00231	blue
C01146	blue
C20253	blue
K22446	blue
K02893	blue
K18076	blue
C00249	blue
K08253	blue
C17222	blue
K22222	blue
K01487	blue
K02560	blue
K02887	blue
C00169	blue
K15792	blue
K16887	blue
K01847	blue
K02357	blue
K18306	blue
C01083	blue
K23351	blue
K22478	blue
K13830	blue
K07465	blue
K03218	blue
K16553	blue
K04084	blue
K16322	blue
C00028	blue
K15454	blue
K03589	blue
K08325	blue
K17490	blue
K00701	blue
K08735	blue
K00342	blue
K01207	blue
C20559	blue
C00515	blue
K07714	blue
K11747	blue
K12448	blue
K02123	blue
K00302	blue
K11517	blue
K05035	blue
K12345	blue
K03319	blue
K17749	blue
C03862	blue
K12524	blue
K04562	blue
C16153	blue
K19824	blue
C11829	blue
K21739	blue
K05343	blue
K07097	blue
K05612	blue
C05478	blue
K23987	blue
C00596	blue
C05812	blue
K01972	blue
K00260	blue
K11263	blue
K14261	blue
C00106	blue
K03787	blue
K05015	blue
K16331	blue
K03431	blue
C04807	blue
K11788	blue
C00413	blue
K03655	blue
K04763	blue
C00286	blue
K07079	blue
K01752	blue
K21071	blue
C21027	blue
K22576	blue
K00602	blue
K13967	blue
C03175	blue
C05582	blue
K19386	blue
K03955	blue
K05844	blue
K21393	blue
K15832	blue
K04078	blue
K00172	blue
K02844	blue
K20945	blue
K06015	blue
K00677	blue
C02137	blue
K19349	blue
K05597	blue
K09490	blue
K11201	blue
K19724	blue
K01958	blue
C17326	blue
C05125	blue
K14170	blue
C19847	blue
K01916	blue
C02642	blue
C00886	blue
C00692	blue
K00317	blue
C01161	blue
K01829	blue
K05829	blue
C04666	blue
K01492	blue
C20752	blue
C04874	blue
K19619	blue
K10760	blue
K20202	blue
C04260	blue
C11173	blue
C00010	blue
C03684	blue
C00116	blue
K01518	blue
K01627	blue
K07485	blue
K01154	blue
K12152	blue
K00850	blue
K19701	blue
K13940	blue
C16826	blue
C11404	blue
K02847	blue
K14660	blue
K03088	blue
K21218	blue
K11778	blue
K16793	blue
K00992	blue
K03327	blue
C03785	blue
K06187	blue
C05850	blue
K01766	blue
C02226	blue
K02998	blue
K04074	blue
C00239	blue
K16150	blue
K22024	blue
K13015	blue
K05984	blue
C22160	blue
K23094	blue
K03164	blue
K01873	blue
K00057	blue
K07137	blue
K11939	blue
C00499	blue
C08362	blue
K12257	blue
K02913	blue
K19828	blue
C01209	blue
K12747	blue
C01300	blue
K05559	blue
K03592	blue
K10206	blue
K18303	blue
K06969	blue
K17819	blue
K17363	blue
K00235	blue
C00683	blue
C00842	blue
K02118	blue
K11608	blue
C05698	blue
K07707	blue
K11175	blue
K00634	blue
K07240	blue
K07798	blue
K09482	blue
K20777	blue
K23095	blue
C00636	blue
C00531	blue
K05994	blue
K23242	blue
C00111	blue
K00566	blue
K02584	blue
C00254	blue
K06957	blue
K14441	blue
K02520	blue
C16244	blue
C01050	blue
C00119	blue
K07816	blue
K06984	blue
K08734	blue
K09011	blue
K11924	blue
C00973	blue
C20239	blue
K00100	blue
K05657	blue
K03040	blue
K03286	blue
C05635	blue
K18534	blue
K12995	blue
K00713	blue
C00430	blue
K03500	blue
K21757	blue
C21603	blue
K01282	blue
K09578	blue
K03100	blue
K13006	blue
K19140	blue
C00862	blue
C00008	blue
K01933	blue
K06185	blue
K00824	blue
K01182	blue
K00769	blue
K02493	blue
K14826	blue
K03315	blue
K00230	blue
K11907	blue
C16154	blue
K13950	blue
K03609	blue
K19076	blue
K16339	blue
K19223	blue
K15920	blue
K01939	blue
C21017	blue
K03089	blue
K07497	blue
C06081	blue
K02337	blue
K01662	blue
K12047	blue
K13771	blue
K02612	blue
K06943	blue
C21614	blue
K01869	blue
C03512	blue
C17219	blue
K01055	blue
K22418	blue
K07059	blue
K11206	blue
C00363	blue
K03043	blue
K14059	blue
K02428	blue
K00903	blue
K03170	blue
K07095	blue
K04718	blue
C06103	blue
K02237	blue
C00256	blue
K10907	blue
K02938	blue
K08669	blue
K15083	blue
C06040	blue
C00124	blue
K17069	blue
K06879	blue
G00031	blue
K02523	blue
K15022	blue
C00655	blue
K05589	blue
C00108	blue
K11915	blue
K07064	blue
K15254	blue
C11150	blue
K03093	blue
K12951	blue
C15786	blue
K03214	blue
K08384	blue
C11915	blue
C00003	blue
K12144	blue
K00343	blue
C00233	blue
K03773	blue
K04800	blue
K07126	blue
C00033	blue
K22245	blue
K00588	blue
K00812	blue
K02982	blue
K00239	blue
K03269	blue
K03471	blue
K22409	blue
K05545	blue
C04462	blue
K02519	blue
K03570	blue
K05685	blue
K03707	blue
C00409	blue
C12481	blue
K07705	blue
K03404	blue
K14188	blue
K07214	blue
C05796	blue
C05840	blue
K09696	blue
C00083	blue
K03630	blue
C04294	blue
C06508	blue
K02508	blue
K23497	blue
K21971	blue
K02617	blue
C22157	blue
K06973	blue
C00642	blue
K03305	blue
K17837	blue
K05373	blue
C00504	blue
K01000	blue
K03580	blue
K06977	blue
K05546	blue
K03750	blue
K04044	blue
K03771	blue
K22900	blue
K09811	blue
C00540	blue
K05365	blue
C11811	blue
K03289	blue
C05756	blue
K23617	blue
C00224	blue
K17625	blue
K15477	blue
K21027	blue
C02835	blue
K07789	blue
C00280	blue
C17218	blue
K01175	blue
C21880	blue
C00122	blue
K13283	blue
K21703	blue
K02969	blue
K10899	blue
K18640	blue
K11690	blue
K07710	blue
K20156	blue
K21972	blue
C00032	blue
C00693	blue
C22053	blue
C02612	blue
K02412	blue
C05819	blue
K00874	blue
K06900	blue
C04349	blue
K02656	blue
K14539	blue
K07765	blue
K00611	blue
K19788	blue
C02352	blue
C11437	blue
K01056	blue
K08676	blue
K16695	blue
K23183	blue
K15519	blue
K07483	blue
K12450	blue
K03650	blue
K07787	blue
K18861	blue
K19304	blue
K00861	blue
K01299	blue
K10011	blue
K00974	blue
K01966	blue
K03212	blue
K00857	blue
K00951	blue
C00068	blue
K22579	blue
K09251	blue
C00197	blue
C19852	blue
K01952	blue
K18210	blue
K01819	blue
C06017	blue
C00439	blue
K18557	blue
C01151	blue
K22447	blue
C00645	blue
K01519	blue
K03388	blue
C01179	blue
K03658	blue
K02834	blue
C03459	blue
K08191	blue
C08735	blue
K00946	blue
K00929	blue
K01719	blue
K00006	blue
K07124	blue
C00380	blue
K02960	blue
K20891	blue
C06614	blue
K09002	blue
K13798	blue
K06950	blue
K00315	blue
K22522	blue
C20651	blue
K18908	blue
K17686	blue
C16635	blue
C04246	blue
K22907	blue
C00015	blue
C05580	blue
K00564	blue
C02222	blue
C00126	blue
K06158	blue
K07462	blue
K14213	blue
K03092	blue
K15669	blue
K22551	blue
K00688	blue
C04133	blue
C00162	blue
K01956	blue
C19885	blue
C01077	blue
K03527	blue
C06240	blue
C16579	blue
K22345	blue
C05898	blue
C00206	blue
K03168	blue
K01262	blue
K01578	blue
C04738	blue
C00167	blue
C00105	blue
C00044	blue
K22441	blue
C00079	blue
K02517	blue
K00759	blue
K15633	blue
K16898	blue
K00299	blue
C00180	blue
C00080	blue
K17103	blue
K00295	blue
K06181	blue
K16028	blue
K20543	blue
K18687	blue
K03117	blue
K10978	blue
C00647	blue
C16681	blue
K08956	blue
K15741	blue
C00096	blue
C02960	blue
K03525	blue
K01620	blue
K00928	blue
K07102	blue
K11004	blue
K08259	blue
C00041	blue
K11537	blue
K15518	blue
K07658	blue
C01268	blue
K20466	blue
C03838	blue
K05989	blue
K02106	blue
K17105	blue
K08264	blue
K13370	blue
K18023	blue
C00144	blue
C02051	blue
K02857	blue
K07638	blue
K07403	blue
C02992	blue
C03508	blue
K22982	blue
C13309	blue
K11085	blue
K11809	blue
K06897	blue
K07456	blue
K03769	blue
C05727	blue
K03559	blue
K09552	blue
K14267	blue
K03243	blue
K18231	blue
C00679	blue
C05533	blue
K01736	blue
K12252	blue
K01744	blue
K16554	blue
K00927	blue
C00544	blue
K07165	blue
C11453	blue
K06001	blue
K00986	blue
K00598	blue
C00546	blue
C03127	blue
C15812	blue
K01667	blue
K15331	blue
K17472	blue
K02145	blue
C03802	blue
K02335	blue
K00014	blue
K07711	blue
K02835	blue
K11165	blue
C05817	blue
K06946	blue
C14899	blue
C20858	blue
C01330	blue
K09647	blue
C00857	blue
K14206	blue
K10764	blue
K03224	blue
K05809	blue
C00555	blue
K00121	blue
K13888	blue
K19338	blue
C00410	blue
K01462	blue
K16843	blue
C21018	blue
K17768	blue
K07082	blue
K02160	blue
K07017	blue
C14090	blue
C22159	blue
K06168	blue
C07090	blue
C00002	blue
C21565	blue
K09807	blue
K02078	blue
K17478	blue
K06956	blue
C20679	blue
K00765	blue
K16153	blue
K00561	blue
K10781	blue
C05662	blue
K13533	blue
K13713	blue
K00177	blue
C00001	blue
C00804	blue
K18288	blue
K17653	blue
C01279	blue
K04765	blue
G13108	blue
K02823	blue
K14444	blue
K21089	blue
K23238	blue
K14447	blue
K13640	blue
K09867	blue
K01867	blue
K01053	blue
K16421	blue
K13829	blue
C06142	blue
C00876	blue
C01046	blue
K04517	blue
C20755	blue
K04069	blue
C00617	blue
C03239	blue
C04824	blue
C01180	blue
K07125	blue
K03074	blue
C00672	blue
K00051	blue
K05542	blue
C16630	blue
K01996	blue
K07031	blue
K08656	blue
C00387	blue
C16618	blue
C21029	blue
C00020	blue
K22482	blue
K03667	blue
K23010	blue
K09503	blue
C00535	blue
K14667	blue
C12348	blue
C20466	blue
K01848	blue
C05361	blue
C00266	blue
K13402	blue
C05703	blue
K07432	blue
K18707	blue
K00826	blue
K02497	blue
K03789	blue
K15269	blue
K21696	blue
K22469	blue
K07391	blue
C00559	blue
K03179	blue
K05587	blue
C04327	blue
K03569	blue
C02336	blue
K03665	blue
C20240	blue
K12316	blue
K00795	blue
K14191	blue
K06959	blue
K07402	blue
K03639	blue
C04181	blue
K00763	blue
C00236	blue
K15726	blue
K06888	blue
C00064	blue
C00685	blue
K00952	blue
K16869	blue
K03852	blue
K02502	blue
K01491	blue
K17248	blue
K02996	blue
K03927	blue
K11540	blue
K03416	blue
K08301	blue
