	0
K00789	blue
K07041	blue
K14156	blue
C00688	blue
C19823	blue
K17241	blue
K00348	blue
K21375	blue
K03284	blue
K01894	blue
K03497	blue
K03525	blue
K02821	blue
C00671	blue
C01228	blue
K03455	blue
K03623	blue
K18278	blue
K03928	blue
C05859	blue
K02050	blue
K00367	blue
K02503	blue
K00283	blue
K00427	blue
K18831	blue
K19070	blue
K03555	blue
K03151	blue
K15783	blue
C00527	blue
K05989	blue
K14540	blue
K01069	blue
C05378	blue
K02566	blue
K03310	blue
C00262	blue
K01342	blue
K00366	blue
C16579	blue
K04112	blue
K01138	blue
K07097	blue
K22597	blue
C00132	blue
C19745	blue
K01101	blue
K02960	blue
K07009	blue
C02527	blue
K05597	blue
K07301	blue
K18135	blue
K00639	blue
C04570	blue
G00278	blue
K06168	blue
K08602	blue
K22503	blue
C00081	blue
K05366	blue
K06919	blue
K03743	blue
K09698	blue
C05946	blue
C20505	blue
K09611	blue
K02755	blue
K02436	blue
K03470	blue
K02536	blue
C17219	blue
C05684	blue
K01804	blue
C19080	blue
C00040	blue
K03476	blue
K21440	blue
C11448	blue
K19997	blue
K01119	blue
K02248	blue
K02996	blue
K00073	blue
C00256	blue
K07001	blue
K02621	blue
C00016	blue
K02564	blue
K02020	blue
K12956	blue
C16834	blue
K15892	blue
C00250	blue
K02518	blue
K18233	blue
C00327	blue
C00013	blue
K20627	blue
K00852	blue
K02051	blue
K06323	blue
K00604	blue
K01647	blue
K11104	blue
K01818	blue
K04020	blue
K13875	blue
C00282	blue
C20562	blue
K03111	blue
K22298	blue
C19929	blue
K00038	blue
K00132	blue
K13787	blue
K11751	blue
K16911	blue
K11744	blue
K14059	blue
K17206	blue
C00624	blue
K21147	blue
K07027	blue
C00330	blue
K07720	blue
K16785	blue
K02914	blue
K01050	blue
C12023	blue
K18367	blue
K02835	blue
K08734	blue
K06156	blue
K00286	blue
K03324	blue
K20026	blue
K15857	blue
K17467	blue
K03703	blue
K21594	blue
K07457	blue
K01215	blue
K07651	blue
K07144	blue
K01054	blue
K14080	blue
C00078	blue
K01956	blue
C16426	blue
K21711	blue
C00043	blue
K21273	blue
K16139	blue
C00615	blue
K04083	blue
K00689	blue
K12062	blue
K09504	blue
K04087	blue
C02139	blue
K03500	blue
C04713	blue
K03484	blue
K02878	blue
C01172	blue
C04419	blue
K13282	blue
C16619	blue
K12659	blue
C01079	blue
K03671	blue
K11392	blue
K12945	blue
K01520	blue
C02702	blue
C00570	blue
K22103	blue
K01000	blue
K02881	blue
K14194	blue
K00965	blue
K17487	blue
K18189	blue
K11074	blue
C20959	blue
K19873	blue
K01690	blue
K06099	blue
C00118	blue
K02046	blue
K08741	blue
K03466	blue
K03649	blue
K03427	blue
K14108	blue
K03339	blue
K00288	blue
K14983	blue
K02654	blue
K02316	blue
K08310	blue
K10750	blue
G13119	blue
K02963	blue
C05539	blue
C05932	blue
K18654	blue
C03291	blue
K21030	blue
K01834	blue
K03224	blue
K02477	blue
K02500	blue
K03705	blue
K00688	blue
K03925	blue
K08083	blue
K07584	blue
K03018	blue
K04655	blue
K15535	blue
C00148	blue
K06607	blue
C16237	blue
K08484	blue
C00363	blue
K11694	blue
C00186	blue
C18040	blue
K04108	blue
K09257	blue
C00197	blue
K19507	blue
K05837	blue
C00454	blue
K01118	blue
C17561	blue
C05199	blue
K02004	blue
K03480	blue
K01266	blue
K16784	blue
K00560	blue
K18944	blue
K02099	blue
C17227	blue
K03686	blue
K07706	blue
K18830	blue
K03424	blue
C00405	blue
C01530	blue
C16244	blue
C00064	blue
C04558	blue
K22199	blue
C20156	blue
C01367	blue
K09710	blue
K04749	blue
K08311	blue
K12657	blue
K00867	blue
K09691	blue
K11195	blue
C00957	blue
K08365	blue
K15201	blue
K13316	blue
K07014	blue
C02554	blue
C00110	blue
C21363	blue
K07043	blue
K17465	blue
C00030	blue
K17797	blue
C07490	blue
K22043	blue
C18172	blue
K09497	blue
K00557	blue
K09825	blue
K00816	blue
K07739	blue
K00966	blue
K19304	blue
C19888	blue
K10773	blue
K07168	blue
C16583	blue
K09503	blue
K19824	blue
K09695	blue
K04074	blue
K22457	blue
K01939	blue
K18933	blue
K03495	blue
K21768	blue
C03785	blue
C04432	blue
K18449	blue
C20679	blue
C16630	blue
C00162	blue
C02872	blue
K15515	blue
K03789	blue
K03614	blue
K06167	blue
K10213	blue
K09826	blue
K14250	blue
K23721	blue
C00007	blue
K15888	blue
K21109	blue
K19340	blue
C06113	blue
K03615	blue
K08253	blue
C19799	blue
K03047	blue
C00555	blue
K23059	blue
