	0
C00255	blue
K03046	blue
K17195	blue
G00526	blue
K01887	blue
K00663	blue
C04851	blue
C04480	blue
K01197	blue
K01405	blue
G10665	blue
C20958	blue
K10421	blue
K01338	blue
K02844	blue
K02520	blue
C00140	blue
K03559	blue
K07459	blue
K13541	blue
C00117	blue
K01519	blue
K02338	blue
K03503	blue
K07320	blue
K11600	blue
K01766	blue
C06023	blue
K17103	blue
K00169	blue
K03798	blue
K18672	blue
C16612	blue
C00059	blue
K20457	blue
G13093	blue
C00431	blue
K07483	blue
K20469	blue
K19789	blue
K18122	blue
C08735	blue
K13010	blue
K00015	blue
C16219	blue
C16634	blue
K09812	blue
K01904	blue
C21462	blue
K14717	blue
K01726	blue
C01050	blue
K18445	blue
K01493	blue
K00884	blue
C00670	blue
C01185	blue
K18479	blue
C21762	blue
G13035	blue
K00262	blue
K02961	blue
K09013	blue
C00734	blue
C06509	blue
C00558	blue
K07720	blue
C00091	blue
K14157	blue
K01448	blue
C17213	blue
K07042	blue
K03817	blue
K16555	blue
K19286	blue
K07636	blue
C21488	blue
K03269	blue
C00460	blue
K17437	blue
K03672	blue
K02004	blue
K07075	blue
K13581	blue
C00905	blue
K08675	blue
C00108	blue
K00979	blue
K18059	blue
K01066	blue
C00047	blue
C20861	blue
K15914	blue
K20575	blue
C05760	blue
K10258	blue
K20543	blue
C20796	blue
C06322	blue
C02713	blue
C20642	blue
C05634	blue
C00146	blue
K15773	blue
K00433	blue
K06073	blue
K13789	blue
K01415	blue
K01515	blue
K14002	blue
C04738	blue
C00214	blue
C00323	blue
C00133	blue
K14388	blue
K00705	blue
K20810	blue
C20376	blue
K12600	blue
K12525	blue
K07098	blue
C00352	blue
K12960	blue
K01137	blue
K01118	blue
K00187	blue
K02890	blue
K03545	blue
K15546	blue
K10902	blue
C00033	blue
C00810	blue
C15810	blue
K01364	blue
K04477	blue
C00030	blue
K19781	blue
K01144	blue
K02124	blue
C16265	blue
K21523	blue
C06010	blue
K22108	blue
K00798	blue
K10755	blue
K06913	blue
K10715	blue
