	0
C00016	blue
K05373	blue
K08159	blue
C00011	blue
K03744	blue
K03218	blue
K02040	blue
K06177	blue
K16246	blue
K17717	blue
K20906	blue
C20231	blue
K01144	blue
K06287	blue
K19303	blue
K06207	blue
C04573	blue
C04877	blue
C11908	blue
C17217	blue
C00140	blue
K18808	blue
K03732	blue
K18809	blue
K00260	blue
C01528	blue
K20444	blue
C01455	blue
K20945	blue
C04896	blue
K00602	blue
K21060	blue
K02338	blue
C21386	blue
K07755	blue
C02960	blue
C21463	blue
C03862	blue
K02468	blue
K03091	blue
K07651	blue
K22885	blue
C21328	blue
K08651	blue
K10421	blue
C00116	blue
C00718	blue
C00536	blue
C11903	blue
C21310	blue
C17010	blue
K01258	blue
K01662	blue
K03596	blue
K06896	blue
C03160	blue
K16881	blue
K12351	blue
K01658	blue
C05762	blue
C04352	blue
K00609	blue
C02463	blue
K23238	blue
K15442	blue
K02133	blue
K02358	blue
K00031	blue
K22457	blue
K07452	blue
C04628	blue
K01784	blue
K09497	blue
C01845	blue
K17253	blue
K02429	blue
C02876	blue
K06019	blue
K21681	blue
K21563	blue
K13402	blue
K06188	blue
K14453	blue
C05712	blue
K16196	blue
K18533	blue
K13640	blue
K08372	blue
K01058	blue
K16257	blue
C04895	blue
K07782	blue
K03546	blue
K17758	blue
K00729	blue
K02474	blue
K21331	blue
K13010	blue
K01972	blue
K07670	blue
K15255	blue
K20202	blue
K02137	blue
C03313	blue
K01205	blue
K14326	blue
K19697	blue
C00270	blue
K11105	blue
C00254	blue
K01408	blue
K02014	blue
K03930	blue
C00301	blue
C00620	blue
K01755	blue
K04760	blue
K14155	blue
K15050	blue
K05698	blue
C20239	blue
K04772	blue
K16961	blue
G00154	blue
K10105	blue
K18284	blue
C14090	blue
C00543	blue
K21378	blue
K00169	blue
K15979	blue
K13075	blue
C11437	blue
C15813	blue
K17722	blue
K07079	blue
C03599	blue
C00111	blue
K03768	blue
K03444	blue
C02843	blue
C00415	blue
C00231	blue
K00207	blue
C00084	blue
K03269	blue
C00143	blue
K13995	blue
C16635	blue
K03387	blue
C04751	blue
K04568	blue
C21879	blue
K00243	blue
K02518	blue
K00226	blue
K01759	blue
K03581	blue
K21564	blue
K00638	blue
C05922	blue
K02523	blue
K07319	blue
K03217	blue
K03975	blue
K03086	blue
K04720	blue
K06870	blue
K03667	blue
K03693	blue
C04598	blue
K07463	blue
C00973	blue
C00668	blue
K11170	blue
C05699	blue
K01912	blue
K01115	blue
C00577	blue
K05820	blue
K19872	blue
K19824	blue
C22053	blue
K00218	blue
K05576	blue
K12252	blue
C04419	blue
K00015	blue
K15437	blue
C00096	blue
K16907	blue
K11923	blue
K01939	blue
K19586	blue
K07588	blue
K16291	blue
C19879	blue
K19269	blue
K02355	blue
K14059	blue
K01126	blue
K01432	blue
K08693	blue
K03723	blue
K12950	blue
K14187	blue
C21257	blue
K05574	blue
K08161	blue
K04488	blue
K03405	blue
K15379	blue
K00765	blue
C00446	blue
K09800	blue
K14597	blue
K21405	blue
K17103	blue
C15532	blue
K21071	blue
K13629	blue
K11414	blue
K00754	blue
K02071	blue
K06200	blue
K03954	blue
K21027	blue
K00885	blue
C03652	blue
K13310	blue
K03526	blue
K07776	blue
C19975	blue
K13533	blue
K02964	blue
K01091	blue
K02065	blue
K07387	blue
K21624	blue
K16460	blue
K07796	blue
G13118	blue
C00157	blue
K14656	blue
K02079	blue
K05827	blue
K14430	blue
K03065	blue
K07102	blue
K12196	blue
C01250	blue
C06423	blue
C01762	blue
K13313	blue
C00134	blue
K20257	blue
C03401	blue
K07067	blue
K22222	blue
C03406	blue
K03111	blue
K14081	blue
K02874	blue
K00992	blue
K03569	blue
C01151	blue
K03553	blue
K21890	blue
K10943	blue
K19694	blue
K02557	blue
G13103	blue
K00176	blue
K01923	blue
C00344	blue
C00033	blue
C21999	blue
C11910	blue
K16559	blue
K03631	blue
C12320	blue
K01897	blue
K08723	blue
K12354	blue
K14727	blue
K02450	blue
K22579	blue
K00313	blue
K06999	blue
C07446	blue
C19151	blue
K03548	blue
K05694	blue
C00436	blue
C00007	blue
C21667	blue
K09697	blue
K00818	blue
K18398	blue
K00338	blue
K07010	blue
C06124	blue
K18122	blue
K11326	blue
K14152	blue
K01303	blue
K00605	blue
C01168	blue
K01000	blue
C05754	blue
K01590	blue
C19794	blue
C02565	blue
