	0
C04644	blue
K03206	blue
C01182	blue
K23518	blue
C06032	blue
K00018	blue
C04732	blue
K19294	blue
C00037	blue
K11369	blue
K03810	blue
K00075	blue
C18007	blue
K01803	blue
K00845	blue
K10900	blue
K00067	blue
K07692	blue
K16792	blue
K03047	blue
K10206	blue
K15976	blue
K02558	blue
K15781	blue
C00923	blue
K01737	blue
K03490	blue
C20258	blue
C00155	blue
K18425	blue
K03090	blue
K18446	blue
K17723	blue
C01097	blue
K04758	blue
K13005	blue
K14107	blue
C04282	blue
C14151	blue
K02874	blue
C03972	blue
C12212	blue
K01685	blue
C01935	blue
K03702	blue
K00939	blue
K17076	blue
K19633	blue
C04442	blue
C06427	blue
K07560	blue
K14661	blue
K00855	blue
K08312	blue
K11810	blue
C19692	blue
K22516	blue
K08675	blue
K16052	blue
K17819	blue
K01462	blue
K02058	blue
K03664	blue
K07646	blue
K18758	blue
K19337	blue
C01081	blue
C01190	blue
K01265	blue
K16153	blue
C06715	blue
C01289	blue
C00692	blue
K16850	blue
K03310	blue
C02659	blue
K21755	blue
C00133	blue
K11085	blue
K02025	blue
K07129	blue
K13421	blue
K02031	blue
K19354	blue
K02933	blue
G00160	blue
C16392	blue
K00990	blue
K15792	blue
K02006	blue
K00830	blue
C19078	blue
K02973	blue
K00769	blue
K07407	blue
K01975	blue
K03581	blue
K20037	blue
K18866	blue
C22053	blue
C01279	blue
K03592	blue
K10715	blue
K00215	blue
K03281	blue
C01595	blue
K03110	blue
K00859	blue
K13509	blue
K08482	blue
K05685	blue
C00153	blue
K01188	blue
K02078	blue
K09697	blue
K08325	blue
K23315	blue
K02470	blue
C00052	blue
K03629	blue
C20390	blue
K07574	blue
C17323	blue
K06858	blue
K02038	blue
K03216	blue
K02946	blue
K11216	blue
K03480	blue
C18172	blue
K02101	blue
K17734	blue
K13889	blue
C11831	blue
K03431	blue
K07182	blue
K11131	blue
K11102	blue
C20451	blue
K16201	blue
C01026	blue
C02504	blue
K01587	blue
C20374	blue
K01915	blue
K00655	blue
K07144	blue
C04556	blue
C04554	blue
C05898	blue
K04761	blue
C00234	blue
K03439	blue
C20683	blue
K00867	blue
K04568	blue
K02072	blue
C05116	blue
K00265	blue
K03386	blue
K03466	blue
K03615	blue
C20239	blue
K02746	blue
K01448	blue
K21889	blue
K01426	blue
K21971	blue
C01181	blue
K01589	blue
C14145	blue
K01342	blue
C16618	blue
G10619	blue
C05271	blue
K15331	blue
C05892	blue
C00086	blue
K15580	blue
K22051	blue
K00302	blue
K02341	blue
K02959	blue
K14023	blue
C00131	blue
K10978	blue
K09997	blue
K02112	blue
K02053	blue
K00786	blue
C00794	blue
K02440	blue
C00191	blue
K03709	blue
K07166	blue
K10119	blue
K18673	blue
C19881	blue
C05300	blue
K16922	blue
K00058	blue
K06175	blue
K18891	blue
C00092	blue
K16020	blue
K12733	blue
C00636	blue
C02995	blue
K03073	blue
C00074	blue
K01585	blue
K16649	blue
C00369	blue
K01939	blue
C00053	blue
K13006	blue
K01195	blue
K22804	blue
C01035	blue
K02000	blue
K10947	blue
K19386	blue
K02981	blue
G00159	blue
C04558	blue
C20378	blue
K06287	blue
C02953	blue
K01586	blue
G10553	blue
K10725	blue
K02050	blue
K08153	blue
K16787	blue
K18590	blue
C02686	blue
K01000	blue
K03101	blue
K10441	blue
K00712	blue
C05382	blue
C02137	blue
K03214	blue
K03798	blue
K03547	blue
K13678	blue
G13119	blue
C02960	blue
K20884	blue
C01209	blue
K15460	blue
K14539	blue
K07461	blue
K02935	blue
K14335	blue
C00043	blue
K06881	blue
K01811	blue
K03639	blue
K06946	blue
C00119	blue
K02770	blue
K11258	blue
K13771	blue
K18700	blue
K18234	blue
C20940	blue
K12676	blue
K00533	blue
C20942	blue
C01112	blue
K01681	blue
K06185	blue
C04691	blue
C07089	blue
K01475	blue
K18654	blue
K23270	blue
K19002	blue
K05519	blue
K11809	blue
K00362	blue
C16334	blue
K11180	blue
K10026	blue
K02960	blue
K11527	blue
C06056	blue
K03606	blue
K07053	blue
K08956	blue
K11121	blue
K16181	blue
C03692	blue
K06959	blue
C20373	blue
C15857	blue
K03567	blue
C06188	blue
K19710	blue
K19312	blue
K10112	blue
C20906	blue
K14244	blue
K13023	blue
C00624	blue
C00044	blue
C04832	blue
C00354	blue
C00870	blue
K03593	blue
K03111	blue
K22106	blue
K01144	blue
K02445	blue
K03698	blue
K06020	blue
K10797	blue
C00085	blue
C07086	blue
K00882	blue
K11626	blue
K23508	blue
K07238	blue
K21929	blue
K03340	blue
K00057	blue
K15314	blue
C21440	blue
K22216	blue
K07320	blue
K06988	blue
C00258	blue
K01952	blue
C11927	blue
C16478	blue
K07459	blue
K05387	blue
K10760	blue
K01998	blue
K07476	blue
K03750	blue
K01485	blue
C00905	blue
C04635	blue
K03164	blue
C00161	blue
K00364	blue
K05937	blue
K01001	blue
K01726	blue
K08372	blue
K02662	blue
K02965	blue
K05814	blue
C00033	blue
K02564	blue
C00483	blue
K02881	blue
C02501	blue
K07678	blue
K03496	blue
K00560	blue
K20967	blue
C05198	blue
C20377	blue
K01356	blue
K02996	blue
K08166	blue
K12132	blue
K15585	blue
C11544	blue
C17542	blue
K19449	blue
C00433	blue
C00016	blue
K00029	blue
K00966	blue
K03824	blue
K13677	blue
C01367	blue
K04083	blue
C00212	blue
K04477	blue
K11063	blue
K13809	blue
C02939	blue
C17552	blue
C20589	blue
K00661	blue
K17236	blue
K07400	blue
K02428	blue
K15505	blue
K15509	blue
K05353	blue
K22503	blue
C19848	blue
C16400	blue
K17213	blue
C04246	blue
K02477	blue
C00030	blue
C02411	blue
K07742	blue
K21947	blue
K02030	blue
K01759	blue
K01409	blue
K06900	blue
K13830	blue
K02799	blue
K21393	blue
C02047	blue
K19832	blue
C19975	blue
C18799	blue
K20265	blue
K22132	blue
K08161	blue
C19080	blue
K16566	blue
C00568	blue
K00335	blue
K01708	blue
C03691	blue
K11954	blue
K13282	blue
K13679	blue
K00943	blue
C04157	blue
C05697	blue
K07823	blue
C00091	blue
K15546	blue
K01270	blue
C00463	blue
K11625	blue
C05378	blue
C00559	blue
C00111	blue
K11592	blue
C05577	blue
C15974	blue
C04317	blue
K06148	blue
K21567	blue
K03556	blue
K07031	blue
C16469	blue
K01126	blue
C00065	blue
G13127	blue
K09835	blue
K03976	blue
K10743	blue
K15327	blue
C01642	blue
C00627	blue
K03070	blue
K16960	blue
K01814	blue
K09787	blue
K14336	blue
C00055	blue
C05819	blue
K09811	blue
K18350	blue
K09022	blue
K01465	blue
K02302	blue
K06132	blue
K23498	blue
C00536	blue
C03232	blue
C05894	blue
K01868	blue
C20679	blue
C01179	blue
K00040	blue
C00363	blue
K00633	blue
C05265	blue
K22617	blue
K03165	blue
K23537	blue
K03087	blue
C15979	blue
K07493	blue
K03493	blue
C00894	blue
K00220	blue
K19427	blue
C12354	blue
C01118	blue
C11920	blue
C05272	blue
K02356	blue
K21502	blue
C00004	blue
C00620	blue
K01686	blue
K16073	blue
K10191	blue
C03508	blue
K00248	blue
K09648	blue
K15857	blue
K05873	blue
K14170	blue
K07030	blue
C00094	blue
C04152	blue
C00040	blue
K15545	blue
C00042	blue
K15865	blue
C00670	blue
K21801	blue
K10773	blue
K05499	blue
K03554	blue
C00069	blue
K00271	blue
K00548	blue
K21169	blue
K06878	blue
C00152	blue
K07219	blue
K17234	blue
K00703	blue
C03684	blue
C00222	blue
K03602	blue
K09667	blue
C20897	blue
C06481	blue
K10160	blue
K11690	blue
C05223	blue
K01736	blue
C12356	blue
K14537	blue
K13984	blue
C00035	blue
K07684	blue
K08484	blue
K01026	blue
K00186	blue
C17367	blue
C16551	blue
K03430	blue
K00928	blue
K02032	blue
K01948	blue
K20707	blue
K08651	blue
K18694	blue
K07479	blue
K21304	blue
C00036	blue
K01873	blue
K02065	blue
K00663	blue
C06365	blue
K02868	blue
K17214	blue
K02057	blue
K06187	blue
K11175	blue
K03525	blue
K09881	blue
K02812	blue
K01940	blue
K03588	blue
K02809	blue
K01869	blue
K03656	blue
K18890	blue
K18420	blue
C00236	blue
C00996	blue
K12371	blue
G13121	blue
C01092	blue
K00873	blue
K08094	blue
C05859	blue
C06760	blue
C14463	blue
C16619	blue
C20240	blue
K03309	blue
K00948	blue
C21310	blue
C02984	blue
K11912	blue
C05726	blue
K00881	blue
K22430	blue
K09647	blue
K14058	blue
K01338	blue
C06893	blue
K03076	blue
K00953	blue
C00332	blue
K09690	blue
C06142	blue
C06320	blue
C00251	blue
C04506	blue
K00589	blue
K01094	blue
C00680	blue
K01476	blue
K02878	blue
K21029	blue
K10010	blue
K00262	blue
C02962	blue
K19349	blue
K13007	blue
C05335	blue
K03501	blue
C20738	blue
K01619	blue
C15812	blue
K03342	blue
K10281	blue
C04574	blue
K02854	blue
K17996	blue
K23242	blue
K21562	blue
K02574	blue
K08314	blue
K23121	blue
K03649	blue
K02051	blue
K08884	blue
K03170	blue
C00141	blue
C03167	blue
K00891	blue
K00261	blue
K00288	blue
K01631	blue
K10037	blue
K02895	blue
C16688	blue
K03010	blue
K22292	blue
K11415	blue
K03315	blue
K07304	blue
K13292	blue
C05895	blue
C05703	blue
C04728	blue
K04771	blue
K02864	blue
K02346	blue
K21360	blue
C21068	blue
K03654	blue
C06112	blue
K03152	blue
K22506	blue
C20752	blue
K00022	blue
C00577	blue
K07029	blue
C00362	blue
C01267	blue
K12987	blue
K02825	blue
C01335	blue
C00441	blue
K12990	blue
K01639	blue
K01139	blue
C05445	blue
K00573	blue
K17362	blue
K03699	blue
K02243	blue
K01243	blue
K22299	blue
K18136	blue
K00877	blue
K18126	blue
C02946	blue
K01081	blue
K10541	blue
K11609	blue
K13967	blue
C02723	blue
K03427	blue
C05582	blue
K03856	blue
K05888	blue
K05520	blue
K19789	blue
C00267	blue
K11105	blue
K00619	blue
K03150	blue
C00644	blue
K01578	blue
K05804	blue
C00096	blue
C01801	blue
C16273	blue
C00330	blue
K07177	blue
K06897	blue
K00808	blue
K10111	blue
C04377	blue
K05985	blue
C17231	blue
K11957	blue
K02777	blue
C00025	blue
K08303	blue
K01652	blue
K12997	blue
K21346	blue
C00218	blue
K02747	blue
C00390	blue
C01120	blue
K18123	blue
C03345	blue
C00575	blue
K01464	blue
K19003	blue
K23182	blue
C00364	blue
C15603	blue
C00818	blue
K15407	blue
K02821	blue
K07126	blue
C00438	blue
K12506	blue
C01222	blue
K07214	blue
C16588	blue
K19709	blue
K00381	blue
K08659	blue
K22405	blue
K22982	blue
K17680	blue
K02768	blue
K08955	blue
K13652	blue
K13427	blue
K15520	blue
K10195	blue
C00344	blue
C20372	blue
K02018	blue
K07506	blue
K11623	blue
K02011	blue
K01925	blue
C11838	blue
K12406	blue
K20997	blue
K01778	blue
K02171	blue
C00984	blue
C04230	blue
C00315	blue
K00059	blue
K02039	blue
K02504	blue
K07727	blue
K17733	blue
K09903	blue
K14386	blue
C12355	blue
K02424	blue
K01523	blue
C00269	blue
K12252	blue
K01028	blue
K16555	blue
C04181	blue
K01779	blue
C03221	blue
K20468	blue
K09141	blue
K02501	blue
K01924	blue
K19417	blue
K11693	blue
K18589	blue
K22105	blue
K07770	blue
K16302	blue
K03169	blue
K20282	blue
K09834	blue
C18033	blue
C02188	blue
K03177	blue
C16612	blue
K13582	blue
K00764	blue
C00864	blue
C02553	blue
K13525	blue
K07027	blue
K16639	blue
C00741	blue
K05363	blue
K11924	blue
K12956	blue
K11392	blue
C00877	blue
K18533	blue
K00688	blue
K22223	blue
K06154	blue
K02771	blue
K21138	blue
K02372	blue
C15587	blue
C00954	blue
C16154	blue
K00975	blue
C03291	blue
K07032	blue
C04916	blue
C00454	blue
K12940	blue
C18096	blue
K19005	blue
K13702	blue
K00135	blue
K09876	blue
C00637	blue
C00861	blue
K10680	blue
C21368	blue
K05597	blue
K22927	blue
K00858	blue
K20791	blue
K17757	blue
K21622	blue
C00630	blue
K00640	blue
C19794	blue
K07638	blue
C00504	blue
K05516	blue
C04713	blue
K01119	blue
C00705	blue
C00411	blue
C16155	blue
K00945	blue
K20470	blue
K08736	blue
K09762	blue
K12944	blue
K18944	blue
K03628	blue
K02225	blue
C00541	blue
K03816	blue
K00156	blue
K02824	blue
C19843	blue
K21816	blue
K06390	blue
K21440	blue
K02963	blue
K02073	blue
K06994	blue
K00010	blue
K01274	blue
K13998	blue
K10755	blue
C05263	blue
C00112	blue
C00245	blue
K19715	blue
C06204	blue
K17648	blue
K01761	blue
K05823	blue
K15552	blue
K03511	blue
C06755	blue
C00254	blue
K00207	blue
K03300	blue
K10240	blue
G00092	blue
K01694	blue
K00526	blue
K14676	blue
K19270	blue
K21613	blue
K01208	blue
C05583	blue
K12524	blue
K11069	blue
K19339	blue
K02823	blue
K01151	blue
K16138	blue
C06041	blue
K00284	blue
C00666	blue
K00652	blue
K02755	blue
K07045	blue
C16244	blue
C00137	blue
K02240	blue
K13403	blue
K02865	blue
K03564	blue
K20074	blue
K13751	blue
C15980	blue
K12503	blue
K18842	blue
K01962	blue
K19179	blue
C01151	blue
K11788	blue
K22397	blue
C20446	blue
K00372	blue
K06859	blue
K16692	blue
K08602	blue
C17227	blue
K07696	blue
C03794	blue
K00557	blue
K12945	blue
K04479	blue
C04260	blue
K04562	blue
C06400	blue
K02860	blue
K10036	blue
K00169	blue
C21074	blue
K00100	blue
K00293	blue
K21454	blue
C00561	blue
K00015	blue
K00392	blue
K01486	blue
K03693	blue
K04720	blue
K17487	blue
K01679	blue
K00147	blue
K20861	blue
K02954	blue
K22549	blue
C18327	blue
C05345	blue
C00615	blue
C00295	blue
K02436	blue
K13730	blue
K13279	blue
K11962	blue
K07529	blue
K23509	blue
K07665	blue
C02226	blue
C00067	blue
K06901	blue
K01957	blue
G00180	blue
K13818	blue
C00860	blue
K02412	blue
K08302	blue
C01168	blue
K20011	blue
C00802	blue
K01582	blue
K03486	blue
K06178	blue
K08168	blue
K22904	blue
K02520	blue
K23752	blue
C15977	blue
K02232	blue
C00376	blue
C19765	blue
K19425	blue
K01432	blue
K02955	blue
C02814	blue
C01455	blue
K15474	blue
C02163	blue
C04752	blue
K07720	blue
C00685	blue
K12370	blue
C18237	blue
C05539	blue
C06054	blue
K01989	blue
K04045	blue
K07707	blue
K03075	blue
K07049	blue
K07457	blue
C06250	blue
K01735	blue
C04089	blue
C05791	blue
K13800	blue
K16618	blue
C05754	blue
K01808	blue
C05897	blue
C06193	blue
C03765	blue
K04486	blue
K06286	blue
K12585	blue
K23384	blue
K02056	blue
C05125	blue
K03040	blue
K06207	blue
K01034	blue
C11481	blue
