GeneID	CAZy
PBMDCECB_226745	GH33
PBMDCECB_226816	GH43_7-CBM13
PBMDCECB_226937	GH105
PBMDCECB_227025	GH1
PBMDCECB_227030	GT32
PBMDCECB_227116	GH130
PBMDCECB_227203	GT4
PBMDCECB_227246	GT4
PBMDCECB_227247	GT4
PBMDCECB_227269	GT4
PBMDCECB_227272	GH28
PBMDCECB_227294	CBM9
PBMDCECB_227295	GH73-CBM50-CBM50
PBMDCECB_227437	GT35
PBMDCECB_227508	GH133
PBMDCECB_227562	CBM50
PBMDCECB_227584	GT4
PBMDCECB_227735	GT2
PBMDCECB_227912	GH1
PBMDCECB_227994	GH43_7-CBM13
PBMDCECB_228024	GT2
PBMDCECB_228035	GT2
PBMDCECB_228075	GH76
PBMDCECB_228083	GT1
PBMDCECB_228085	GT4
PBMDCECB_228091	GT2
PBMDCECB_228125	GH20
PBMDCECB_228253	GT2
PBMDCECB_228294	GH13
PBMDCECB_228304	GT4
PBMDCECB_228334	GT4
PBMDCECB_228385	GH97
PBMDCECB_228404	GH13_9
PBMDCECB_228423	CBM48
PBMDCECB_228464	GH25
PBMDCECB_228643	GT2
PBMDCECB_228644	GT4
PBMDCECB_228680	GH26
PBMDCECB_228710	GH13_9
PBMDCECB_228723	GH36
PBMDCECB_228725	GH28
PBMDCECB_228747	GH2
PBMDCECB_228866	GT4
PBMDCECB_228910	GT2
PBMDCECB_228919	GT30
PBMDCECB_228953	GT2
PBMDCECB_229051	GT4
PBMDCECB_229091	GT51
PBMDCECB_229337	GH3
PBMDCECB_229338	GH28
PBMDCECB_229386	GH2
PBMDCECB_229404	GH94
PBMDCECB_229410	GH94
PBMDCECB_229448	GH3
PBMDCECB_229539	GH106
PBMDCECB_229557	GH127
PBMDCECB_229623	GH127
PBMDCECB_229721	GT4
PBMDCECB_229877	GT8
PBMDCECB_229921	GT4
PBMDCECB_229951	GH127
PBMDCECB_230009	GT2
PBMDCECB_230014	GT28
PBMDCECB_230043	GH20
PBMDCECB_230060	GT2
PBMDCECB_230099	GH25
PBMDCECB_230108	CBM79-CBM79
PBMDCECB_230166	GT5
PBMDCECB_230167	PL6
PBMDCECB_230294	GT2
PBMDCECB_230347	GT2
PBMDCECB_230358	GH95
PBMDCECB_230367	GH146
PBMDCECB_230450	GT4
PBMDCECB_230458	GT4
PBMDCECB_230494	GT2
PBMDCECB_230661	GH1
PBMDCECB_230663	GT2
PBMDCECB_230711	GT4
PBMDCECB_230739	GH5_37
PBMDCECB_230743	GT35
PBMDCECB_230805	GT2
PBMDCECB_230821	GT2
PBMDCECB_230878	PL12
PBMDCECB_230880	GT28
PBMDCECB_231109	GH133
PBMDCECB_231133	GT2
PBMDCECB_231138	GH67
PBMDCECB_231183	GH27
PBMDCECB_231184	GH25
PBMDCECB_231248	GH2
PBMDCECB_231254	GH148
PBMDCECB_231288	GT35
PBMDCECB_231290	GH43_35
PBMDCECB_231334	GT35
PBMDCECB_231510	GH1
PBMDCECB_231538	GH3
PBMDCECB_231568	GT4
PBMDCECB_231607	GH13
PBMDCECB_231651	GH94
PBMDCECB_231693	GT8
PBMDCECB_231769	GT4
PBMDCECB_231832	GT2
PBMDCECB_231863	GT4
PBMDCECB_231885	GT28
PBMDCECB_231893	GH65
PBMDCECB_231928	GH13-CBM26
PBMDCECB_232078	GH51
PBMDCECB_232133	GT4
PBMDCECB_232176	GT8
PBMDCECB_232199	GH31
PBMDCECB_232216	GT2
PBMDCECB_232283	GT19
PBMDCECB_232290	GT9
PBMDCECB_232317	GH144
PBMDCECB_232387	GH78
PBMDCECB_232392	GT2
PBMDCECB_232442	GH2
PBMDCECB_232496	GT2
PBMDCECB_232526	GT4
PBMDCECB_232562	GT19
PBMDCECB_232582	GH78
PBMDCECB_232632	GH77
PBMDCECB_232710	GT2
PBMDCECB_232737	GH91
PBMDCECB_232750	GT4
PBMDCECB_232784	GH67
PBMDCECB_233066	GH43_34
PBMDCECB_233120	GT2
PBMDCECB_233144	GH10
PBMDCECB_233183	GH51
PBMDCECB_233209	GT4
PBMDCECB_233317	GH23
PBMDCECB_233351	GT4
PBMDCECB_233428	GT4
PBMDCECB_233445	GH16_3
PBMDCECB_233474	GH133
PBMDCECB_233534	GT35
PBMDCECB_233536	GT28
PBMDCECB_233574	GH13_9
PBMDCECB_233626	GT2
PBMDCECB_233733	GT8
PBMDCECB_233759	GT4
PBMDCECB_233823	GT4
PBMDCECB_233837	GH33
PBMDCECB_233884	CBM50
PBMDCECB_234007	GH78
PBMDCECB_234076	GH50
PBMDCECB_234113	GH13-DOC
PBMDCECB_234117	GH53
PBMDCECB_234145	GT2
PBMDCECB_234204	GT2
PBMDCECB_234239	GT2
PBMDCECB_234255	GT2
PBMDCECB_234348	GT4
PBMDCECB_234372	GT2
PBMDCECB_234389	GH25
PBMDCECB_234408	GT2
PBMDCECB_234418	GH29
PBMDCECB_234465	CBM6
PBMDCECB_234487	GH9
PBMDCECB_234597	GH5_4
PBMDCECB_234664	GH3
PBMDCECB_234703	GH4
PBMDCECB_234730	GH73
PBMDCECB_234769	GH23
PBMDCECB_234809	GT2
PBMDCECB_234896	GT2
PBMDCECB_234925	GH78
PBMDCECB_234940	CBM25
PBMDCECB_234970	GT2
PBMDCECB_235022	GT2
PBMDCECB_235126	GH1
PBMDCECB_235201	GT4
PBMDCECB_235318	GT4
PBMDCECB_235354	CBM50
PBMDCECB_235389	GH4
PBMDCECB_235434	GT2
PBMDCECB_235435	GT2
PBMDCECB_235521	GH13_38
PBMDCECB_235658	GT4
PBMDCECB_235659	GT4
PBMDCECB_235777	GH77
PBMDCECB_235782	GT4
PBMDCECB_235818	GH146
PBMDCECB_235837	GH39
PBMDCECB_235957	GT28
PBMDCECB_236043	GH4
PBMDCECB_236073	GH13_31
PBMDCECB_236079	GH43_29-CBM6
PBMDCECB_236136	GH20
PBMDCECB_236142	GH43_19
PBMDCECB_236161	GH3
PBMDCECB_236164	GT2
PBMDCECB_236176	GT2
PBMDCECB_236284	GH51
PBMDCECB_236324	GT4
PBMDCECB_236334	CBM62
PBMDCECB_236354	GH23
PBMDCECB_236404	GT4
PBMDCECB_236468	GH13
PBMDCECB_236523	GT4
PBMDCECB_236543	GH13
PBMDCECB_236693	GH33
PBMDCECB_236799	GT2
PBMDCECB_236927	GH25
PBMDCECB_236984	GH3
PBMDCECB_237002	GH92
PBMDCECB_237014	GT2
PBMDCECB_237087	GH133
PBMDCECB_237137	GT9
PBMDCECB_237199	GH78
PBMDCECB_237250	GT2
PBMDCECB_237260	GT4
PBMDCECB_237267	CBM50
PBMDCECB_237445	GH13_9
PBMDCECB_237694	GH53
PBMDCECB_237742	GT4
PBMDCECB_237746	GH78
PBMDCECB_237918	GH77
PBMDCECB_237971	GH38
PBMDCECB_237975	GT2
PBMDCECB_237991	GH23
PBMDCECB_238043	GT9
PBMDCECB_238111	GT2
PBMDCECB_238117	CBM6
PBMDCECB_238140	GT4
PBMDCECB_238160	CBM50
PBMDCECB_238192	GH31
PBMDCECB_238221	GT2
PBMDCECB_238416	GT2
PBMDCECB_238422	CBM9
PBMDCECB_238565	GH31
PBMDCECB_238595	GH28
PBMDCECB_238668	GH43_29-CBM6
PBMDCECB_238735	CBM2-CBM2
PBMDCECB_238749	GH2
PBMDCECB_238752	CBM77
PBMDCECB_238785	GT8
PBMDCECB_238834	PL10-CBM35
PBMDCECB_238918	GH20
PBMDCECB_238938	GT2
PBMDCECB_238978	GT4
PBMDCECB_238986	GT2
PBMDCECB_239045	GT2
PBMDCECB_239137	CBM72
PBMDCECB_239294	GT4
PBMDCECB_239317	GH28
PBMDCECB_239415	GT2
PBMDCECB_239433	GH13_19-CBM26
PBMDCECB_239434	GH43_34
PBMDCECB_239436	PL1-CBM35
PBMDCECB_239589	GH78
PBMDCECB_239594	GH2
PBMDCECB_239643	GT4
PBMDCECB_239768	PL11
PBMDCECB_239779	GT2
PBMDCECB_240014	GT2
PBMDCECB_240070	GH33
PBMDCECB_240074	GH43_12
PBMDCECB_240122	GH154
PBMDCECB_240127	GT2
PBMDCECB_240158	GH98
PBMDCECB_240192	GH13_38
PBMDCECB_240227	GH78
PBMDCECB_240273	GT4
PBMDCECB_240360	GT4
PBMDCECB_240373	GT4
PBMDCECB_240456	GH77
PBMDCECB_240458	GH36
PBMDCECB_240481	GH29
PBMDCECB_240552	GT4
PBMDCECB_240594	GH33
PBMDCECB_240621	CBM6
PBMDCECB_240657	GH97
PBMDCECB_240672	GH13_14
PBMDCECB_240767	GT4
PBMDCECB_240817	GH92
PBMDCECB_240831	GT2
PBMDCECB_240877	GT32
PBMDCECB_240899	GH31
PBMDCECB_240918	GT4
PBMDCECB_241097	GT4
PBMDCECB_241113	GH97
PBMDCECB_241304	CBM6
PBMDCECB_241323	GH51
PBMDCECB_241341	GH20
PBMDCECB_241346	GT4
PBMDCECB_241366	GT4
PBMDCECB_241369	GT4
PBMDCECB_241503	GT4
PBMDCECB_241516	GH31
PBMDCECB_241526	GH97
PBMDCECB_241527	GH51
PBMDCECB_241571	PL8
PBMDCECB_241594	GT19
PBMDCECB_241614	GT2
PBMDCECB_241639	GH31
PBMDCECB_241788	GH25-CBM50-CBM50
PBMDCECB_241900	GH77
PBMDCECB_241920	GH3
PBMDCECB_241927	GT4
PBMDCECB_242024	GH1
PBMDCECB_242099	GT4
PBMDCECB_242132	GH51
PBMDCECB_242136	GT1
PBMDCECB_242162	GT4
PBMDCECB_242235	GT35
PBMDCECB_242250	GT5
PBMDCECB_242271	GH43_12
PBMDCECB_242273	GT28
PBMDCECB_242453	GH28
PBMDCECB_242456	CBM35
PBMDCECB_242470	GH130
PBMDCECB_242614	GT4
PBMDCECB_242641	GT4
PBMDCECB_242645	GT2
PBMDCECB_242650	GH154
PBMDCECB_242672	GH77
PBMDCECB_242920	GH120
PBMDCECB_242941	GT2
PBMDCECB_243043	GH95
PBMDCECB_243100	GT4
PBMDCECB_243124	GH13_8
PBMDCECB_243132	GH29-CBM32
PBMDCECB_243133	GH3
PBMDCECB_243149	GT2
PBMDCECB_243302	GT2
PBMDCECB_243423	GT4
PBMDCECB_243427	GT89
PBMDCECB_243543	GT2
PBMDCECB_243571	GT2
PBMDCECB_243671	GT2
PBMDCECB_243717	GH16_3
PBMDCECB_243729	GT2
PBMDCECB_243901	GT2
PBMDCECB_243916	GH42
PBMDCECB_243963	GH13_36
PBMDCECB_243978	GH13_9
PBMDCECB_243990	GH2
PBMDCECB_244014	GH28
PBMDCECB_244114	CBM72
PBMDCECB_244200	GT35
PBMDCECB_244271	GT2
PBMDCECB_244456	GH28
PBMDCECB_244467	GT4
PBMDCECB_244617	CBM72
PBMDCECB_244723	GH53-CBM61
PBMDCECB_244766	GH31
PBMDCECB_244769	GT2
PBMDCECB_244817	GT2
PBMDCECB_244901	GH78
PBMDCECB_244913	GT2
PBMDCECB_244926	GT2
PBMDCECB_244942	GH18
PBMDCECB_245032	GT2
PBMDCECB_245105	GH13
PBMDCECB_245124	GH89
PBMDCECB_245171	GT4
PBMDCECB_245219	GH32
PBMDCECB_245248	GH13_9
PBMDCECB_245319	GH92
PBMDCECB_245559	GH1
PBMDCECB_245639	GH20
PBMDCECB_245658	GH67
PBMDCECB_245719	GH144
PBMDCECB_245904	GH8
PBMDCECB_245929	GT9
PBMDCECB_245969	GT111
PBMDCECB_246045	GT4
PBMDCECB_246066	GH27
PBMDCECB_246071	GT2
PBMDCECB_246142	GH5_2
PBMDCECB_246150	GT2
PBMDCECB_246192	GT4
PBMDCECB_246332	GT4
PBMDCECB_246356	CBM48
PBMDCECB_246396	GH108
PBMDCECB_246415	GT4
PBMDCECB_246462	CBM48
PBMDCECB_246494	GT2
PBMDCECB_246619	CBM50
PBMDCECB_246673	CBM4
PBMDCECB_246686	GT2
PBMDCECB_246723	GH51
PBMDCECB_246744	GT4
PBMDCECB_246759	GH25
PBMDCECB_246792	GT4
PBMDCECB_246793	GH146
PBMDCECB_246840	GH1
PBMDCECB_246882	GT35
PBMDCECB_247033	GH115
PBMDCECB_247104	GT2
PBMDCECB_247248	GH13_18
PBMDCECB_247376	GT5
PBMDCECB_247412	GH141
PBMDCECB_247418	GH42
PBMDCECB_247445	GT51
PBMDCECB_247527	GT2
PBMDCECB_247597	GH1
PBMDCECB_247635	GH3
PBMDCECB_247666	GT2
PBMDCECB_247784	GT4
PBMDCECB_247994	GT2
PBMDCECB_248031	CBM26
PBMDCECB_248071	GT2
PBMDCECB_248119	GT4
PBMDCECB_248141	GT4
PBMDCECB_248243	GT2
PBMDCECB_248267	GH3
PBMDCECB_248291	GH45
PBMDCECB_248307	GT2
PBMDCECB_248318	GH3
PBMDCECB_248359	GT2
PBMDCECB_248414	GH32
PBMDCECB_248496	GH13_8
PBMDCECB_248528	GT2
PBMDCECB_248540	GT2
PBMDCECB_248615	GT4
PBMDCECB_248662	GH13
PBMDCECB_248672	GT2
PBMDCECB_248692	GH92
PBMDCECB_248723	GT73
PBMDCECB_248757	PL12
PBMDCECB_248875	GH25
PBMDCECB_248954	GT8
PBMDCECB_249039	GH28-CBM9
PBMDCECB_249098	GT2
PBMDCECB_249207	GT2
PBMDCECB_249276	GH4
PBMDCECB_249282	GH3
PBMDCECB_249299	GH142
PBMDCECB_249352	GH53-CBM72
PBMDCECB_249510	CBM32
PBMDCECB_249518	GT2
PBMDCECB_249679	GH28
PBMDCECB_249735	CBM6
PBMDCECB_249826	GT4
PBMDCECB_249865	GT1
PBMDCECB_249918	GH130
PBMDCECB_249919	GH33
PBMDCECB_249920	GT4
PBMDCECB_249923	GH25
PBMDCECB_250019	PL31
PBMDCECB_250022	CBM6
PBMDCECB_250041	CBM48
PBMDCECB_250074	GH3
PBMDCECB_250115	GT4
PBMDCECB_250157	GT4
PBMDCECB_250160	GT2
PBMDCECB_250174	GH13_31
PBMDCECB_250227	GH144
PBMDCECB_250292	GT4
PBMDCECB_250323	GH33
PBMDCECB_250409	GH67
PBMDCECB_250481	GH95
PBMDCECB_250576	GH16_3
PBMDCECB_250600	GT3
PBMDCECB_250680	GT4
PBMDCECB_250763	GH92
PBMDCECB_250883	GT4
PBMDCECB_250897	GH23-CBM50
PBMDCECB_250971	GT51
PBMDCECB_251069	GH42
PBMDCECB_251227	GH29
PBMDCECB_251292	GT2
PBMDCECB_251322	GT28
PBMDCECB_251373	GH13_31
PBMDCECB_251452	GT5
PBMDCECB_251478	GT28
PBMDCECB_251497	GT2
PBMDCECB_251652	GH10
PBMDCECB_251669	GT2
PBMDCECB_251810	GT83
PBMDCECB_251820	GT2
PBMDCECB_228409	GH130
PBMDCECB_231535	GT4
PBMDCECB_232922	GT4
PBMDCECB_233341	GH33
PBMDCECB_239957	GH73
PBMDCECB_247894	AA10
PBMDCECB_249971	GT5
PBMDCECB_227439	CBM50
PBMDCECB_228084	GT1
PBMDCECB_228449	GT4
PBMDCECB_228775	GT2
PBMDCECB_229470	GT5
PBMDCECB_230292	GT2
PBMDCECB_231020	GT2
PBMDCECB_232185	GT2
PBMDCECB_232535	GT2
PBMDCECB_232693	GT4
PBMDCECB_233175	GH43_19
PBMDCECB_234846	CBM50
PBMDCECB_235641	GH88
PBMDCECB_236365	GT2
PBMDCECB_238134	GT2
PBMDCECB_241646	GT2
PBMDCECB_242252	GT2
PBMDCECB_242356	GT2
PBMDCECB_242412	GH94
PBMDCECB_242426	GT10
PBMDCECB_243935	GT28
PBMDCECB_245610	GT4
PBMDCECB_245882	GT5
PBMDCECB_245923	GT5
PBMDCECB_246431	GT2
PBMDCECB_246626	GT51
PBMDCECB_201570	GH13_9
PBMDCECB_201627	GT2
PBMDCECB_201783	GT2
PBMDCECB_201867	GT5
PBMDCECB_202299	GH31
PBMDCECB_202322	GT8
PBMDCECB_202456	GH4
PBMDCECB_202525	GH97
PBMDCECB_202542	GH154
PBMDCECB_202552	GH2
PBMDCECB_202595	GT4
PBMDCECB_202613	GT2
PBMDCECB_202834	GT4
PBMDCECB_202845	GT5
PBMDCECB_202847	GH51
PBMDCECB_202849	GT2
PBMDCECB_202922	GT2
PBMDCECB_202924	GH73-DOC
PBMDCECB_202999	CBM48
PBMDCECB_203039	GT11
PBMDCECB_203058	GT25
PBMDCECB_203059	GT25
PBMDCECB_203118	GT2
PBMDCECB_203202	GT2
PBMDCECB_203220	GH33
PBMDCECB_203236	GT2
PBMDCECB_203290	GT35
PBMDCECB_203296	GH98-CBM35
PBMDCECB_203473	GH30_2
PBMDCECB_203563	GH77
PBMDCECB_203625	GH130
PBMDCECB_203671	GH51
PBMDCECB_203747	GH10
PBMDCECB_203762	GH50
PBMDCECB_203769	GH1
PBMDCECB_204006	GH13_31
PBMDCECB_204120	GH146
PBMDCECB_204172	GT32
PBMDCECB_204272	GT32
PBMDCECB_204294	CBM4-CBM4
PBMDCECB_204433	GT2
PBMDCECB_204434	GT2
PBMDCECB_204556	GT11
PBMDCECB_204570	GT2
PBMDCECB_204584	GT2
PBMDCECB_204612	GH10-CBM48
PBMDCECB_204613	GT4
PBMDCECB_204676	GH43_12
PBMDCECB_204750	GT1
PBMDCECB_204770	GT2
PBMDCECB_204921	PL1-CBM77
PBMDCECB_205086	GH25
PBMDCECB_205087	CBM4-GH148
PBMDCECB_205121	GH91
PBMDCECB_205131	GH27-CBM35
PBMDCECB_205152	GH13_14
PBMDCECB_205156	GH23
PBMDCECB_205178	GH13_38
PBMDCECB_205185	CBM50
PBMDCECB_205241	GH4
PBMDCECB_205242	GT2
PBMDCECB_205292	GH130
PBMDCECB_205386	GH32
PBMDCECB_205404	CBM50
PBMDCECB_205416	GH23
PBMDCECB_205469	GT2
PBMDCECB_205486	GT2
PBMDCECB_205645	GH23
PBMDCECB_205676	GH39
PBMDCECB_205746	GH51
PBMDCECB_205797	GH2
PBMDCECB_205874	GT4
PBMDCECB_205898	GT4
PBMDCECB_205943	GT4
PBMDCECB_205985	PL11
PBMDCECB_206050	GH8
