BKMLJIHP_00010	GH51
BKMLJIHP_00017	GH43_26
BKMLJIHP_00089	GH13
BKMLJIHP_00148	GH130
BKMLJIHP_00156	CE9
BKMLJIHP_00158	GH1
BKMLJIHP_00162	GH2
BKMLJIHP_00232	GT5
BKMLJIHP_00333	GH78
BKMLJIHP_00466	GT4
BKMLJIHP_00478	GT4
BKMLJIHP_00480	GT4
BKMLJIHP_00519	GT8
BKMLJIHP_00521	CBM48-GH13_14
BKMLJIHP_00528	GH53
BKMLJIHP_00529	GH53
BKMLJIHP_00531	GH53
BKMLJIHP_00534	CBM66
BKMLJIHP_00538	GH32
BKMLJIHP_00540	CBM38
BKMLJIHP_00542	GH32
BKMLJIHP_00543	GH32
BKMLJIHP_00590	GH36
BKMLJIHP_00592	GH20
BKMLJIHP_00635	GH13_9
BKMLJIHP_00716	GT4
BKMLJIHP_00781	GT4
BKMLJIHP_00898	GH77
BKMLJIHP_00899	GH77
BKMLJIHP_00902	CBM48-GH13_14
BKMLJIHP_00533	GH13_31
BKMLJIHP_00634	GT35
FMPADHJF_00133	GH13_9
FMPADHJF_00160	GH3
FMPADHJF_00279	GT2
FMPADHJF_00364	GT2
FMPADHJF_00398	GH3
FMPADHJF_00495	GH43_22
FMPADHJF_00526	GH2
FMPADHJF_00537	GH78
FMPADHJF_00538	GH3
FMPADHJF_00555	GT35
FMPADHJF_00583	GH3
FMPADHJF_00657	CE9
FMPADHJF_00673	GH3
FMPADHJF_00772	GT2
FMPADHJF_00840	GH16_21
FMPADHJF_00862	GH32-CBM66
FMPADHJF_00939	GT2
FMPADHJF_01222	GH43_35
FMPADHJF_01290	GH3
FMPADHJF_01063	GH4
DFGAHNMJ_00001	GT5
DFGAHNMJ_00087	GH3
DFGAHNMJ_00242	GH2
DFGAHNMJ_00266	GH13_20
DFGAHNMJ_00288	GH9
DFGAHNMJ_00289	GH9
DFGAHNMJ_00290	GH9
DFGAHNMJ_00352	GT4
DFGAHNMJ_00379	GH36
DFGAHNMJ_00427	GT2
DFGAHNMJ_00547	GT2
DFGAHNMJ_00637	GH1
DFGAHNMJ_00642	GH94
DFGAHNMJ_00741	GH2
DFGAHNMJ_00756	GT5
DFGAHNMJ_00806	GH5_2
DFGAHNMJ_00814	GT8
DFGAHNMJ_00818	GT4
DFGAHNMJ_00848	GH36
DFGAHNMJ_00882	GH77
DFGAHNMJ_00899	GH13
DFGAHNMJ_00918	GT2
DFGAHNMJ_01005	GH3
DFGAHNMJ_01173	GH13_28
DFGAHNMJ_01174	CBM48-GH13_14
DFGAHNMJ_01289	GH29
DFGAHNMJ_01290	GH130
DFGAHNMJ_01297	GT4
DFGAHNMJ_01302	GH1
DFGAHNMJ_01317	GT2
DFGAHNMJ_01417	GH13_14
DFGAHNMJ_01452	GH77
DFGAHNMJ_01467	GH13_9
DFGAHNMJ_01470	GT35
DFGAHNMJ_00380	GH13_31
DFGAHNMJ_01007	GH13_31
DFGAHNMJ_01468	GT35
EAFDNLLG_00033	GH53-CBM61
EAFDNLLG_00058	GH36
EAFDNLLG_00344	GT35
EAFDNLLG_00351	GT4
EAFDNLLG_00679	GH70
EAFDNLLG_00683	CBM13-PL9
EAFDNLLG_00855	GH1
EAFDNLLG_00890	GT2
EAFDNLLG_00927	GH1
EAFDNLLG_01011	GH29
EAFDNLLG_01152	GH13_29
EAFDNLLG_01197	GH13_5
EAFDNLLG_01248	GT4
EAFDNLLG_01261	GH25
EAFDNLLG_01325	GH13_29
EAFDNLLG_01549	GH13_14
EAFDNLLG_01551	GH77
EAFDNLLG_01579	GH13_28-CBM26-CBM26
EAFDNLLG_01652	GT4
EAFDNLLG_01690	GH73
EAFDNLLG_01695	GT4
EAFDNLLG_01845	GT51
EAFDNLLG_00030	GH1
EAFDNLLG_00105	GH36
EAFDNLLG_00109	GH13_18
EAFDNLLG_00161	GT1
